Name,User,Startdate,Enddate,trap_type,trap_code,trap_status,PBS_code,PBS_type,number_containers,Field_visit_completed,remarks,contact_person_name,contact_person_email,contact_person_tel,contact_remarks,PoE_name,PoE_code,PoE_type,PoE_street,PoE_municipality,PoE_website,PoE_remarks
M17PAL010OKT10,Isra Deblauwe,10-10-2017 02:00:00,,Larval sampling,,,,,,No,,Lazlo Avonts (of Nele Vanham),lazlo.avonts@favv.be,03 543 66 40,"FAVV GIP (of douane: Bram Bryssinckx: bram.bryssinckx@minfin.fed.be 0257 873 56 of 04707 873 56 ), tel GIP LO: 03/570 29 29",Border Inspection Post Linkeroever Port Antwerp,PA,Port,"Sint-Antoniusweg, kaai 1795",Kallo,,
M17HAM041SEP18,Isra Deblauwe,18-09-2017 02:00:00,02-10-2017 10:23:26,Mosquito Magnet trap,M041,Stopped working,,,,Yes,"2/10: val gestopt, ook geen flikkerlicht. batterij vervangen maar lang op oranje , dus kop vervangen dr M001",Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17BAO061OKT26,Isra Deblauwe,26-10-2017 02:00:00,24-11-2017 13:04:35,Oviposition trap,O061,OK,,,,Yes,,Vincent La Penta (Céline La Bruyère),labruyere-c@bridgestone-bae.com,065 61 11 07 / 0479 88 35 99,,Bridgestone Aircraft tires (Europe) sa,BA,Used tyre import company,Route de Bavay,Frameries,http://www.bridgestone.com/jobs/contact/BAE.html,altijd begeleiding nodig!
M17ABO017OKT24,Isra Deblauwe,24-10-2017 02:00:00,21-11-2017 10:29:37,Oviposition trap,O017,OK,,,,Yes,,Hans Bernaert (zaakvoerder),agrityre@1261.be,03 730 20 00,,Agrityre (AtoB),AB,Used tyre import company,Hazopweg 1261,Kallo,http://www.agrityre.be/index.html,zelfde zaakvoerder als ATB
M17HAO284AUG21,Isra Deblauwe,21-08-2017 02:00:00,04-09-2017 16:37:36,Oviposition trap,O284,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17RAO142OKT17,Isra Deblauwe,17-10-2017 02:00:00,14-11-2017 09:55:44,Oviposition trap,O142,OK,,,,Yes,,,,,,Rocherath cemetry,RA,Cemetry,Hauptstrasse 20,Raeren,,
M17MMO193AUG24,Isra Deblauwe,24-08-2017 02:00:00,05-09-2017 17:03:39,Oviposition trap,O193,Polystyrene next to trap,,,,Yes,,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17VPB015AUG25,Isra Deblauwe,25-08-2017 02:00:00,08-09-2017 13:55:12,BG-Sentinel trap,B015,OK,,,,Yes,,Francis Letawe,,085 270 530,Contact Mr Letawe (GSM in case of emergency 0495/587302),Vise Pneu SA,VP,Used tyre import company,Rue de Waremme 128,Villers-Le-Bouillet,,"before 16h, otherwise call."
M17E3L004OKT23,Isra Deblauwe,23-10-2017 02:00:00,23-10-2017 12:25:57,Larval sampling,,,E3L004,Drainage,4,Yes,richting be,,contact@hotel-pole-europeen.com ,063 380 120,,E411 (A28) Hotel Le Pôle Européen (Aubange),E3,Parking lot,Complexe douanier et autoroutier,Aubange,http://www.hotel-pole-europeen.com/frame2.html,
M17BAO065SEP15,Isra Deblauwe,15-09-2017 15:08:19,28-09-2017 15:08:21,Oviposition trap,O065,OK,,,,Yes,,,,,,,BA,,,,,
M17PAO021AUG29,Isra Deblauwe,29-08-2017 02:00:00,26-09-2017 12:22:48,Oviposition trap,O021,OK,,,,Yes,,Lazlo Avonts (of Nele Vanham),lazlo.avonts@favv.be,03 543 66 40,"FAVV GIP (of douane: Bram Bryssinckx: bram.bryssinckx@minfin.fed.be 0257 873 56 of 04707 873 56 ), tel GIP LO: 03/570 29 29",Border Inspection Post Linkeroever Port Antwerp,PA,Port,"Sint-Antoniusweg, kaai 1795",Kallo,,
M17HAO310AUG21,Isra Deblauwe,21-08-2017 02:00:00,04-09-2017 15:52:03,Oviposition trap,O310,Polystyrene gone,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17ATO001AUG29,Isra Deblauwe,29-08-2017 02:00:00,26-09-2017 09:17:54,Oviposition trap,O001,OK,,,,Yes,,Hans Bernaert (zaakvoerder),hans@atb.eu,03 755 09 45,,ATB Banden,AT,Used tyre import company,Kerkstraat 90,Vrasene,http://www.atb.eu/,"Vrasene; Friday before 15h, other days?"
M17MCO045OKT26,Isra Deblauwe,26-10-2017 02:00:00,24-11-2017 10:19:59,Oviposition trap,O045,OK,,,,Yes,,Isabelle Libert,rh@jacquesremy.com,071 44 60 01,,Marché de Gros Marcinelle,MC,Wholesale market,Rue des Forgerons 102,Charleroi,http://jacquesremy.com/home/,di of do bellen net na middag dan rustig
M17SPO311SEP04,Isra Deblauwe,04-09-2017 02:00:00,02-10-2017 12:16:35,Oviposition trap,O311,Polystyrene next to trap,,,,Yes,,Ludwig Van Assche,sarripneus@skynet.be,083 21 29 68,,Ets Sarri Pneus,SP,Used tyre import company,Chaussée de Namur 7,Natoye,,
M17MML007SEP05,Isra Deblauwe,05-09-2017 02:00:00,05-09-2017 11:04:55,Larval sampling,,,mml007,Plastic container,1,Yes,rain water barrel,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17VPO234NOV03,Isra Deblauwe,03-11-2017 01:00:00,30-11-2017 09:39:12,Oviposition trap,O234,Polystyrene gone,,,,Yes,"in new tyre with water, a few tyres left to old tyre",Francis Letawe,,085 270 530,Contact Mr Letawe (GSM in case of emergency 0495/587302),Vise Pneu SA,VP,Used tyre import company,Rue de Waremme 128,Villers-Le-Bouillet,,"before 16h, otherwise call."
M17PAO021SEP26,Isra Deblauwe,26-09-2017 02:00:00,24-10-2017 13:59:12,Oviposition trap,O021,OK,,,,Yes,,Lazlo Avonts (of Nele Vanham),lazlo.avonts@favv.be,03 543 66 40,"FAVV GIP (of douane: Bram Bryssinckx: bram.bryssinckx@minfin.fed.be 0257 873 56 of 04707 873 56 ), tel GIP LO: 03/570 29 29",Border Inspection Post Linkeroever Port Antwerp,PA,Port,"Sint-Antoniusweg, kaai 1795",Kallo,,
M17HAO295OKT02,Isra Deblauwe,02-10-2017 02:00:00,,Oviposition trap,O295,OK,,,,No,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17PZO093SEP27,Isra Deblauwe,27-09-2017 02:00:00,25-10-2017 07:50:21,Oviposition trap,O093,OK,,,,Yes,,Van De Pitte Jan,,050 36 74 40,FAVV: Lieven Van De Wiele (PCE West-Vlaanderen: 050 30 37 14); Haven: Marieke Oosterloo (Harbour master's office: hkd@mbz.be); business intelligence director: Patrick Van Cauwenberghe (pvc@mbz.be),Port of Zeebrugge,PZ,Port,Werfkaai,Zeebrugge,,
M17HAO295SEP04,Isra Deblauwe,04-09-2017 02:00:00,,Oviposition trap,O295,OK,,,,No,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17MBO186OKT31,Isra Deblauwe,31-10-2017 01:00:00,28-11-2017 08:53:52,Oviposition trap,O186,OK,,,,Yes,,Maurice (zaakvoerder) of Jan Broums (chef werkplaats),sales@maaslandbanden.be,089 65 68 33,,Maaslandbanden,MB,Used tyre import company,Meerkensstraat 41,Dilsen-Stokkem,http://www.maaslandbanden.com/,
M17ETO249AUG25,Isra Deblauwe,25-08-2017 02:00:00,08-09-2017 10:16:27,Oviposition trap,O249,Stopped working,,,,Yes,potje omgevallen -blokje lag er nog in,William Heynen,,043 62 85 46,,Marché Matinal de Liège,ET,Wholesale market,Avenue Joseph Prévers 29,Liège,http://www.marche-matinal-de-liege.be/,
M17BAL001OKT13,Isra Deblauwe,13-10-2017 02:00:00,13-10-2017 12:02:34,Larval sampling,,,BAL001,Tyre,12,Yes,1 rubber sheet,Vincent La Penta (Céline La Bruyère),labruyere-c@bridgestone-bae.com,065 61 11 07 / 0479 88 35 99,,Bridgestone Aircraft tires (Europe) sa,BA,Used tyre import company,Route de Bavay,Frameries,http://www.bridgestone.com/jobs/contact/BAE.html,altijd begeleiding nodig!
M17E9O071SEP15,Isra Deblauwe,15-09-2017 02:00:00,13-10-2017 13:39:27,Oviposition trap,O071,Polystyrene gone,,,,Yes,,"Grégory Deramaix, Chef de Service (service environnement)",,065 76 73 69,"restaurant Tourisme shop gelegen in Frankrijk! (0033 3 27 45 40 86, http://www.118218.fr/saint-aybert-59/restaurant/115498367-tourisme-shop.html)",E19 (A2) ,E9,Parking lot,Hensies,Hensies,,
M17RAO136AUG22,Isra Deblauwe,22-08-2017 02:00:00,20-09-2017 17:00:32,Oviposition trap,O136,OK,,,,Yes,,,,,,Rocherath cemetry,RA,Cemetry,Hauptstrasse 20,Raeren,,
M17HAO281OKT02,Isra Deblauwe,02-10-2017 02:00:00,30-10-2017 07:44:03,Oviposition trap,O281,Polystyrene gone,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17E2L005OKT23,Isra Deblauwe,23-10-2017 02:00:00,,Larval sampling,,,,,,No,,Marlene Jacobs (hoofdverantwoordelijke Autogrill),,0477 80 08 57,tel van AC hotel in Messancy: 063 23 32 54,E411 (E25) AC Hotel Arlon (Messancy),E2,Parking lot,Aire de Hondelange,Messancy,http://www.autogrill.be/nl/search/site/messancy ,
M17E4O180SEP19,Isra Deblauwe,19-09-2017 02:00:00,17-10-2017 15:59:32,Oviposition trap,O180,Polystyrene gone,,,,Yes,trap gone ,,H6322@accor.com ,087 85 11 00,,E40 (A3) Hotel Ibis (Raeren),E4,Parking lot,Aire de repos de Lichtenbusch Autoroute E40 n°4,Raeren,https://www.accorhotels.com/nl/hotel-6322-ibis-budget-aachen-raeren-grenze/index.shtml#section-location ,
M17SPO315OKT30,Isra Deblauwe,30-10-2017 01:00:00,27-11-2017 08:37:34,Oviposition trap,O315,Polystyrene next to trap,,,,Yes,nibbled on by animals ,Ludwig Van Assche,sarripneus@skynet.be,083 21 29 68,,Ets Sarri Pneus,SP,Used tyre import company,Chaussée de Namur 7,Natoye,,
M17BAO068OKT26,Isra Deblauwe,26-10-2017 02:00:00,24-11-2017 13:07:37,Oviposition trap,O068,OK,,,,Yes,,Vincent La Penta (Céline La Bruyère),labruyere-c@bridgestone-bae.com,065 61 11 07 / 0479 88 35 99,,Bridgestone Aircraft tires (Europe) sa,BA,Used tyre import company,Route de Bavay,Frameries,http://www.bridgestone.com/jobs/contact/BAE.html,altijd begeleiding nodig!
M17MCO044AUG31,Isra Deblauwe,31-08-2017 02:00:00,28-09-2017 10:25:33,Oviposition trap,O044,OK,,,,Yes,,Isabelle Libert,rh@jacquesremy.com,071 44 60 01,,Marché de Gros Marcinelle,MC,Wholesale market,Rue des Forgerons 102,Charleroi,http://jacquesremy.com/home/,di of do bellen net na middag dan rustig
M17E2O119SEP25,Isra Deblauwe,25-09-2017 02:00:00,23-10-2017 15:09:21,Oviposition trap,O119,OK,,,,Yes,,Marlene Jacobs (hoofdverantwoordelijke Autogrill),,0477 80 08 57,tel van AC hotel in Messancy: 063 23 32 54,E411 (E25) AC Hotel Arlon (Messancy),E2,Parking lot,Aire de Hondelange,Messancy,http://www.autogrill.be/nl/search/site/messancy ,
M17E9L003OKT13,Isra Deblauwe,13-10-2017 02:00:00,13-10-2017 14:49:18,Larval sampling,,,E9L003,Plastic container,,Yes,,"Grégory Deramaix, Chef de Service (service environnement)",,065 76 73 69,"restaurant Tourisme shop gelegen in Frankrijk! (0033 3 27 45 40 86, http://www.118218.fr/saint-aybert-59/restaurant/115498367-tourisme-shop.html)",E19 (A2) ,E9,Parking lot,Hensies,Hensies,,
M17AZL004OKT10,Isra Deblauwe,10-10-2017 02:00:00,10-10-2017 12:53:15,Larval sampling,,,AZL004,Tyre,1,Yes,outside swissport,Joris Parmentier (FAVV),JORIS.PARMENTIER@favv.be,02 753 42 83,"Ronald Dom (hoofd brandweer, ronald.dom@brusselsairport.be); Marc Bogaerts (Cargo & Logistics Operations Manager, Marc.Bogaerts@brusselsairport.be)",Brussels Airport (Brucargo),AZ,Airport,"Brucargo building 706, BP 36 - Kamer 7307",Zwaventem,http://www.brucargoairfreight.be/nl/wereldwijd-netwerk/,"Swiss Port hangar, arrival vegetables and fruits"
M17RAO147OKT17,Isra Deblauwe,17-10-2017 02:00:00,14-11-2017 09:25:55,Oviposition trap,O147,OK,,,,Yes,,,,,,Rocherath cemetry,RA,Cemetry,Hauptstrasse 20,Raeren,,
M17AZO033AUG29,Isra Deblauwe,29-08-2017 02:00:00,26-09-2017 07:25:16,Oviposition trap,O052,OK,,,,Yes,,Joris Parmentier (FAVV),JORIS.PARMENTIER@favv.be,02 753 42 83,"Ronald Dom (hoofd brandweer, ronald.dom@brusselsairport.be); Marc Bogaerts (Cargo & Logistics Operations Manager, Marc.Bogaerts@brusselsairport.be)",Brussels Airport (Brucargo),AZ,Airport,"Brucargo building 706, BP 36 - Kamer 7307",Zwaventem,http://www.brucargoairfreight.be/nl/wereldwijd-netwerk/,"Swiss Port hangar, arrival vegetables and fruits"
M17E4L008OKT17,Isra Deblauwe,17-10-2017 02:00:00,,Larval sampling,,,,,,No,,,H6322@accor.com ,087 85 11 00,,E40 (A3) Hotel Ibis (Raeren),E4,Parking lot,Aire de repos de Lichtenbusch Autoroute E40 n°4,Raeren,https://www.accorhotels.com/nl/hotel-6322-ibis-budget-aachen-raeren-grenze/index.shtml#section-location ,
M17PZO094SEP27,Isra Deblauwe,27-09-2017 02:00:00,25-10-2017 07:52:53,Oviposition trap,O094,Polystyrene gone,,,,Yes,,Van De Pitte Jan,,050 36 74 40,FAVV: Lieven Van De Wiele (PCE West-Vlaanderen: 050 30 37 14); Haven: Marieke Oosterloo (Harbour master's office: hkd@mbz.be); business intelligence director: Patrick Van Cauwenberghe (pvc@mbz.be),Port of Zeebrugge,PZ,Port,Werfkaai,Zeebrugge,,
M17HAO289OKT02,Isra Deblauwe,02-10-2017 02:00:00,30-10-2017 08:36:15,Oviposition trap,O289,Stopped working,,,,Yes,30/10 trap gone ,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17PZO095SEP27,Isra Deblauwe,27-09-2017 02:00:00,25-10-2017 08:07:00,Oviposition trap,O095,Polystyrene gone,,,,Yes,,Van De Pitte Jan,,050 36 74 40,FAVV: Lieven Van De Wiele (PCE West-Vlaanderen: 050 30 37 14); Haven: Marieke Oosterloo (Harbour master's office: hkd@mbz.be); business intelligence director: Patrick Van Cauwenberghe (pvc@mbz.be),Port of Zeebrugge,PZ,Port,Werfkaai,Zeebrugge,,
M17PAM030SEP26,Isra Deblauwe,26-09-2017 02:00:00,10-10-2017 08:49:36,Mosquito Magnet trap,M030,OK,,,,Yes,,Lazlo Avonts (of Nele Vanham),lazlo.avonts@favv.be,03 543 66 40,"FAVV GIP (of douane: Bram Bryssinckx: bram.bryssinckx@minfin.fed.be 0257 873 56 of 04707 873 56 ), tel GIP LO: 03/570 29 29",Border Inspection Post Linkeroever Port Antwerp,PA,Port,"Sint-Antoniusweg, kaai 1795",Kallo,,
M17RAO131OKT17,Isra Deblauwe,17-10-2017 02:00:00,14-11-2017 10:54:06,Oviposition trap,O131,Polystyrene next to trap,,,,Yes,"new trap placed see foto, 14 nov, pot gone polyestern found",,,,,Rocherath cemetry,RA,Cemetry,Hauptstrasse 20,Raeren,,
M17VPO236SEP08,Isra Deblauwe,08-09-2017 02:00:00,06-10-2017 11:13:39,Oviposition trap,O236,OK,,,,Yes,,Francis Letawe,,085 270 530,Contact Mr Letawe (GSM in case of emergency 0495/587302),Vise Pneu SA,VP,Used tyre import company,Rue de Waremme 128,Villers-Le-Bouillet,,"before 16h, otherwise call."
M17E9L002OKT13,Isra Deblauwe,13-10-2017 02:00:00,13-10-2017 14:01:24,Larval sampling,,,E9L002,Drainage,6,Yes,,"Grégory Deramaix, Chef de Service (service environnement)",,065 76 73 69,"restaurant Tourisme shop gelegen in Frankrijk! (0033 3 27 45 40 86, http://www.118218.fr/saint-aybert-59/restaurant/115498367-tourisme-shop.html)",E19 (A2) ,E9,Parking lot,Hensies,Hensies,,
M17MMO215AUG24,Isra Deblauwe,24-08-2017 02:00:00,05-09-2017 17:54:44,Oviposition trap,O215,OK,,,,Yes,,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17AZL001OKT10,Isra Deblauwe,10-10-2017 02:00:00,10-10-2017 12:09:43,Larval sampling,,,AZL001,Plastic sheet,5,Yes,,Joris Parmentier (FAVV),JORIS.PARMENTIER@favv.be,02 753 42 83,"Ronald Dom (hoofd brandweer, ronald.dom@brusselsairport.be); Marc Bogaerts (Cargo & Logistics Operations Manager, Marc.Bogaerts@brusselsairport.be)",Brussels Airport (Brucargo),AZ,Airport,"Brucargo building 706, BP 36 - Kamer 7307",Zwaventem,http://www.brucargoairfreight.be/nl/wereldwijd-netwerk/,"Swiss Port hangar, arrival vegetables and fruits"
M17BAO067AUG18,Isra Deblauwe,18-08-2017 02:00:00,31-08-2017 14:14:14,Oviposition trap,O067,OK,,,,Yes,,Vincent La Penta (Céline La Bruyère),labruyere-c@bridgestone-bae.com,065 61 11 07 / 0479 88 35 99,,Bridgestone Aircraft tires (Europe) sa,BA,Used tyre import company,Route de Bavay,Frameries,http://www.bridgestone.com/jobs/contact/BAE.html,altijd begeleiding nodig!
M17HAO293SEP04,Isra Deblauwe,04-09-2017 02:00:00,02-10-2017 14:51:35,Oviposition trap,O293,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17MMO197AUG24,Isra Deblauwe,24-08-2017 02:00:00,,Oviposition trap,O197,OK,,,,No,niet uitgevoerd,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17AZO031AUG29,Isra Deblauwe,29-08-2017 02:00:00,26-09-2017 07:22:49,Oviposition trap,O050,OK,,,,Yes,,Joris Parmentier (FAVV),JORIS.PARMENTIER@favv.be,02 753 42 83,"Ronald Dom (hoofd brandweer, ronald.dom@brusselsairport.be); Marc Bogaerts (Cargo & Logistics Operations Manager, Marc.Bogaerts@brusselsairport.be)",Brussels Airport (Brucargo),AZ,Airport,"Brucargo building 706, BP 36 - Kamer 7307",Zwaventem,http://www.brucargoairfreight.be/nl/wereldwijd-netwerk/,"Swiss Port hangar, arrival vegetables and fruits"
M17EBB013DEC06,Isra Deblauwe,06-12-2017 01:00:00,,BG-Sentinel trap,B013,OK,,,,No,,Marc Makelberge,info@eurobonsai.be,09 356 80 28,,Euro Bonsai,EB,Lucky bamboo company,Hoekskensstraat 105a,Lochristi,http://www.eurobonsai.be/,
M17ABL007OKT10,Isra Deblauwe,10-10-2017 02:00:00,,Larval sampling,,,,,,No,,Hans Bernaert (zaakvoerder),agrityre@1261.be,03 730 20 00,,Agrityre (AtoB),AB,Used tyre import company,Hazopweg 1261,Kallo,http://www.agrityre.be/index.html,zelfde zaakvoerder als ATB
M17PAO023SEP26,Isra Deblauwe,26-09-2017 02:00:00,24-10-2017 13:55:13,Oviposition trap,O023,OK,,,,Yes,,Lazlo Avonts (of Nele Vanham),lazlo.avonts@favv.be,03 543 66 40,"FAVV GIP (of douane: Bram Bryssinckx: bram.bryssinckx@minfin.fed.be 0257 873 56 of 04707 873 56 ), tel GIP LO: 03/570 29 29",Border Inspection Post Linkeroever Port Antwerp,PA,Port,"Sint-Antoniusweg, kaai 1795",Kallo,,
M17PZO093AUG30,Isra Deblauwe,30-08-2017 02:00:00,27-09-2017 08:28:15,Oviposition trap,O093,OK,,,,Yes,,Van De Pitte Jan,,050 36 74 40,FAVV: Lieven Van De Wiele (PCE West-Vlaanderen: 050 30 37 14); Haven: Marieke Oosterloo (Harbour master's office: hkd@mbz.be); business intelligence director: Patrick Van Cauwenberghe (pvc@mbz.be),Port of Zeebrugge,PZ,Port,Werfkaai,Zeebrugge,,
M17ATL002OKT10,Isra Deblauwe,10-10-2017 02:00:00,10-10-2017 09:11:20,Larval sampling,l002,,,Metal container,18,Yes,no larvae,Hans Bernaert (zaakvoerder),hans@atb.eu,03 755 09 45,,ATB Banden,AT,Used tyre import company,Kerkstraat 90,Vrasene,http://www.atb.eu/,"Vrasene; Friday before 15h, other days?"
M17ETL002OKT20,Isra Deblauwe,20-10-2017 02:00:00,20-10-2017 12:48:46,Larval sampling,,,ETL002,Drainage,7,Yes,,William Heynen,,043 62 85 46,,Marché Matinal de Liège,ET,Wholesale market,Avenue Joseph Prévers 29,Liège,http://www.marche-matinal-de-liege.be/,
M17E4L002OKT17,Isra Deblauwe,17-10-2017 02:00:00,,Larval sampling,,,,,,No,,,H6322@accor.com ,087 85 11 00,,E40 (A3) Hotel Ibis (Raeren),E4,Parking lot,Aire de repos de Lichtenbusch Autoroute E40 n°4,Raeren,https://www.accorhotels.com/nl/hotel-6322-ibis-budget-aachen-raeren-grenze/index.shtml#section-location ,
M17BAO062AUG18,Isra Deblauwe,18-08-2017 02:00:00,31-08-2017 14:09:41,Oviposition trap,O062,OK,,,,Yes,,Vincent La Penta (Céline La Bruyère),labruyere-c@bridgestone-bae.com,065 61 11 07 / 0479 88 35 99,,Bridgestone Aircraft tires (Europe) sa,BA,Used tyre import company,Route de Bavay,Frameries,http://www.bridgestone.com/jobs/contact/BAE.html,altijd begeleiding nodig!
M17ACL009OKT12,Isra Deblauwe,12-10-2017 02:00:00,,Larval sampling,,,,,,No,,Jean-François Stéphenne (Health & Safety Manager),serviceinformation@charleroi-airport.com,071 25 19 47,,Brussels South Charleroi Airport,AC,Airport,Rue d'Heppignies,Ransart,http://www.charleroi-airport.com/brussels-south-charleroi-airport/index.html,
M17ALL010OKT20,Isra Deblauwe,20-10-2017 02:00:00,,Larval sampling,,,,,,No,,William Luwaert,william.luwaert@afsca.be,0478 80 99 32,,Liège Airport (Avia-partner),AL,Airport,"PIF Liège – Bierset, SAB SA",Grâce-Hologne,http://www.liegeairport.com/fr/cargo,"Aviapartner hangar, arrival vegetables, fruits and flowers, fixed day contact in advance (1h)"
M17E7O102AUG30,Isra Deblauwe,30-08-2017 02:00:00,13-09-2017 13:18:35,Oviposition trap,O102,Polystyrene next to trap,,,,Yes,trap gone,,inter-national@skynet.be,056 41 00 96,,E17 (A22) Inter Restaurant (Rekkem),E7,Parking lot,Paradijsstraat 40,Rekkem,,
M17ROO168AUG22,Isra Deblauwe,22-08-2017 02:00:00,20-09-2017 11:11:41,Oviposition trap,O168,Polystyrene next to trap,,,,Yes,eaten by animals,,,,,Rocherath - Büllingen,RO,Cemetry,Rocherath 40,Büllingen,,
M17VPO231OKT06,Isra Deblauwe,06-10-2017 02:00:00,03-11-2017 14:08:04,Oviposition trap,O231,OK,,,,Yes,,Francis Letawe,,085 270 530,Contact Mr Letawe (GSM in case of emergency 0495/587302),Vise Pneu SA,VP,Used tyre import company,Rue de Waremme 128,Villers-Le-Bouillet,,"before 16h, otherwise call."
M17E2O116SEP25,Isra Deblauwe,25-09-2017 02:00:00,,Oviposition trap,O116,OK,,,,No,,Marlene Jacobs (hoofdverantwoordelijke Autogrill),,0477 80 08 57,tel van AC hotel in Messancy: 063 23 32 54,E411 (E25) AC Hotel Arlon (Messancy),E2,Parking lot,Aire de Hondelange,Messancy,http://www.autogrill.be/nl/search/site/messancy ,
M17MMO214SEP05,Isra Deblauwe,05-09-2017 02:00:00,03-10-2017 13:20:21,Oviposition trap,O214,Polystyrene next to trap,,,,Yes,,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17HAO271AUG21,Isra Deblauwe,21-08-2017 02:00:00,04-09-2017 12:45:53,Oviposition trap,O271,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17HAB016NOV13,Isra Deblauwe,13-11-2017 01:00:00,27-11-2017 07:47:37,BG-Sentinel trap,B016,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17RAL003SEP20,Isra Deblauwe,20-09-2017 16:36:12,20-09-2017 16:36:16,Larval sampling,,,ral003,Plastic container,27,Yes,"15 blue rain water barrels, 5 big and 7 small buckets, inside allotment garden",,,,,,RA,,,,,
M17SPM042SEP18,Isra Deblauwe,18-09-2017 02:00:00,02-10-2017 12:25:30,Mosquito Magnet trap,M042,OK,,,,Yes,,Ludwig Van Assche,sarripneus@skynet.be,083 21 29 68,,Ets Sarri Pneus,SP,Used tyre import company,Chaussée de Namur 7,Natoye,,
M17ALO252NOV03,Isra Deblauwe,03-11-2017 01:00:00,30-11-2017 08:59:15,Oviposition trap,O252,OK,,,,Yes,,William Luwaert,william.luwaert@afsca.be,0478 80 99 32,,Liège Airport (Avia-partner),AL,Airport,"PIF Liège – Bierset, SAB SA",Grâce-Hologne,http://www.liegeairport.com/fr/cargo,"Aviapartner hangar, arrival vegetables, fruits and flowers, fixed day contact in advance (1h)"
M17ROO168SEP20,Isra Deblauwe,20-09-2017 17:57:56,17-10-2017 10:52:14,Oviposition trap,O168,Polystyrene gone,,,,Yes,,,,,,Rocherath - Büllingen,RO,Cemetry,Rocherath 40,Büllingen,,
M17HAB016OKT16,Isra Deblauwe,16-10-2017 02:00:00,30-10-2017 10:24:38,BG-Sentinel trap,B016,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
M17ABL005OKT10,Isra Deblauwe,10-10-2017 02:00:00,,Larval sampling,,,,,,No,,Hans Bernaert (zaakvoerder),agrityre@1261.be,03 730 20 00,,Agrityre (AtoB),AB,Used tyre import company,Hazopweg 1261,Kallo,http://www.agrityre.be/index.html,zelfde zaakvoerder als ATB
M17MMO220SEP05,Isra Deblauwe,05-09-2017 02:00:00,03-10-2017 14:04:38,Oviposition trap,O220,Polystyrene next to trap,,,,Yes,,,info@apk.be,089 36 07 63,,Industrial area 'Op de Berg',MM,Industrial area,Kringloopstraat 8,Maasmechelen,https://www.apk.be/inhoud/vestigingen.aspx,APK nv en PTA nv
M17HAO307OKT02,Isra Deblauwe,02-10-2017 02:00:00,30-10-2017 13:37:53,Oviposition trap,O307,OK,,,,Yes,,Robert Havelange,info@havelange.com,083 21 10 59,,Ets Havelange Robert SPRL,HA,Used tyre import company,Rue de Lenny 103,Natoye,http://www.havelange.com/,
