"Tube Number";"Sampling Code";"Genus";"Species";"Sex";"Number";"Box";"Storage of Box";"Status";"Identifier";"Date ID";"Comments"
"EM183";"EBM006Aug";"Culex";"pipiens/torrentium?";"F";1;"EB01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;
"EM184";"EPM007Aug";"Culex";"pipiens/torrentium?";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"prealar scales?"
"EM185";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"no legs"
"EM186";"EPM007Aug";"Culex";"pipiens/torrentium?";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"1 prealar scale"
"EM187";"EPM007Aug";"Culex";"pipiens/torrentium?";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"1 prealar scale"
"EM188";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;
"EM189";"EPM007Aug";"Culex";"pipiens/torrentium?";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"1 prealar scale"
"EM190";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;
"EM191";"EPM007Aug";"Culex";"pipiens/torrentium?";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"1 prealar scale"
"EM192";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;
"EM193";"EPM007Aug";"Culex";"pipiens/torrentium?";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/25 0:00:00;"1 prealar scale"
"EM194";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM195";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs"
"EM196";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM197";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few legs"
"EM198";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM199";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few legs"
"EM200";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few legs"
"EM201";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few legs"
"EM202";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few legs"
"EM203";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few legs"
"EM204";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM205";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM206";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few legs"
"EM207";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM208";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM209";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs"
"EM210";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM211";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no head"
"EM212";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"complete"
"EM213";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM214";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few legs"
"EM215";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few legs"
"EM216";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM217";"EPM007Aug";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs"
"EM218";"EPM007Aug";"Culex";"pipiens";"M";1;"EP01";"KB25, closet 123";"Male";"Isra";2012/9/27 0:00:00;
"EM219";"EPM007Aug";"Culex";"pipiens";"M";1;"EP01";"KB25, closet 123";"Male";"Isra";2012/9/27 0:00:00;
"EM220";"E7M008Aug";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs"
"EM221";"E7M008Aug";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM222";"E7M008Aug";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM223";"E7M008Aug";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM224";"E7M008Aug";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM225";"E7M008Aug";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM226";"E7M008Aug";"Culex";"pipiens/torrentium?";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no scales"
"EM227";"E7M008Aug";"Culex";"pipiens/torrentium?";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"1 prealar scale"
"EM228";"E7M008Aug";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few scales"
"EM229";"E7M008Aug";"Culex";"pipiens";"F";1;"E701";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM230";"E7M008Aug";"Culex";"pipiens";"M";1;"E701";"KB25, closet 123";"Male";"Isra";2012/9/27 0:00:00;"no legs, wings"
"EM231";"DIM014Aug";"Culex";"pipiens";"F";1;"DI01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs, 1 wing"
"EM232";"DIM014Aug";"Culex";"pipiens/torrentium?";"F";1;"DI01";"KB25, closet 123";"Gravid";"Isra";2012/9/27 0:00:00;"no legs, no wings, few scales"
"EM233";"DIM014Aug";"Culex";"pipiens";"F";1;"DI01";"KB25, closet 123";"Gravid";"Isra";2012/9/27 0:00:00;"few legs, 1 wing"
"EM234";"DIM014Aug";"Culiseta";"annulata";"F";1;"DI01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM235";"3RM023Aug";"Culex";"pipiens/torrentium?";"F";1;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"nectar in abdomen, no scales"
"EM236";"3RM023Aug";"Coquillettidia";"richiardii";"F";1;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs, wings"
"EM237";"3RM023Aug";"Culex";"pipiens";"F";1;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM238";"3RM023Aug";"Coquillettidia";"richiardii";"F";1;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs"
"EM239";"3RM023Aug";"Coquillettidia";"richiardii";"F";1;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM240";"3RM023Aug";"Culex";"pipiens";"M";1;"3R01";"KB25, closet 123";"Male";"Isra";2012/9/27 0:00:00;"few legs"
"EM241";"3RM023Aug";"Culex";"pipiens";"F";1;"3R01";"KB25, closet 123";"Gravid";"Isra";2012/9/27 0:00:00;"few legs"
"EM242";"3RM023Aug";"Coquillettidia";"richiardii";"F";4;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"2: no legs"
"EM243";"3RM023Aug";"Culex";"pipiens";"M";1;"3R01";"KB25, closet 123";"Male";"Isra";2012/9/27 0:00:00;
"EM244";"3RM023Aug";"Culex";"pipiens/torrentium?";"M";1;"3R01";"KB25, closet 123";"Male";"Isra";2012/9/27 0:00:00;"no legs, scales"
"EM245";"3RM023Aug";"Culiseta";"annulata";"F";6;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM246";"3RM023Aug";"Anopheles";"maculipennis/messae?";"F";4;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;
"EM247";"3RM023Aug";"Anopheles";"claviger";"F";1;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs, antennae (or plumbeus?)"
"EM248";"3RM023Aug";"Aedes";"annulipes";"F";1;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs, palps"
"EM249";"3RM023Aug";"Aedes";"cinereus/geminus";"F";6;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"few legs"
"EM250";"3RM023Aug";"Culex";"pipiens";"F";1;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs"
"EM251";"3RM023Aug";"Culex";"pipiens";"F";1;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs"
"EM252";"3RM023Aug";"Culex";"pipiens";"M";1;"3R01";"KB25, closet 123";"Male";"Isra";2012/9/27 0:00:00;"no legs, few scales (male?)"
"EM253";"3RM023Aug";"Culex";"pipiens";"M";1;"3R01";"KB25, closet 123";"Male";"Isra";2012/9/27 0:00:00;"small!"
"EM254";"3RM023Aug";"Aedes";"vexans";"F";10;"3R01";"KB25, closet 123";"Empty";"Isra";2012/9/27 0:00:00;"no legs, 2: no abdomen, also ID on 1/10"
"EM255";"EBM006Sep";"Culex";"pipiens";"F";1;"EB01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"nectar in abdomen, complete"
"EM256";"EBM006Sep";"Culex";"pipiens/torrentium?";"F";1;"EB01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"few scales, 1 prealar scale"
"EM257";"EBM006Sep";"Culex";"pipiens";"F";1;"EB01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"complete"
"EM258";"EBM006Sep";"Culex";"pipiens/torrentium?";"F";1;"EB01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"nectar in abdomen, sticky, complete but few scales"
"EM259";"EBM006Sep";"Culex";"pipiens";"F";1;"EB01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"nectar in abdomen"
"EM260";"EBM006Sep";"Culex";"pipiens";"F";1;"EB01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"nectar in abdomen, sticky, flat"
"EM261";"EPM007Sep";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"nectar in abdomen, no legs"
"EM262";"EPM007Sep";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;
"EM263";"EPM007Sep";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;
"EM264";"EPM007Sep";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"few scales, no legs"
"EM265";"EPM007Sep";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"few legs"
"EM266";"EPM007Sep";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"complete"
"EM267";"EPM007Sep";"Culex";"pipiens/torrentium?";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"nectar in abdomen, no scales"
"EM268";"EPM007Sep";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"nectar in abdomen, no legs"
"EM269";"EPM007Sep";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"nectar in abdomen, no legs"
"EM270";"EPM007Sep";"Culex";"pipiens";"F";1;"EP01";"KB25, closet 123";"Empty";"Isra";2012/10/1 0:00:00;"nectar in abdomen, few legs"
"EM271";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs"
"EM272";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"No abdomen";"Isra";2012/10/5 0:00:00;"no legs, abdomen"
"EM273";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs"
"EM274";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs"
"EM275";"A1M018Jul";"Culex";"pipiens/torrentium?";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs, 1 prealar scale?"
"EM276";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"Gravid";"Isra";2012/10/5 0:00:00;"no legs, wings"
"EM277";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;
"EM278";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;
"EM279";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"No abdomen";"Isra";2012/10/5 0:00:00;"no legs, wings, abdomen"
"EM280";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs"
"EM281";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"No abdomen";"Isra";2012/10/5 0:00:00;"no legs, abdomen"
"EM282";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs"
"EM283";"A1M018Jul";"Culex";"pipiens/torrentium?";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"1 leg, 1 prealar scale?"
"EM284";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"No abdomen";"Isra";2012/10/5 0:00:00;"no legs, abdomen, wings"
"EM285";"A1M018Jul";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"No abdomen";"Isra";2012/10/5 0:00:00;"no legs, abdomen"
"EM286";"A1M018Jul";"Culex";"pipiens";"M";1;"A101";"KB25, closet 123";"Male";"Isra";2012/10/5 0:00:00;"no legs, abdomen, wings"
"EM287";"A1M018Jul";"Coquillettidia";"richiardii";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs, proboscis"
"EM288";"A1M018Jul";"Anopheles";"claviger";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;
"EM289";"A1M018Jul";"Aedes";"caspius";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs"
"EM290";"ATM013Jul";"Culex";"pipiens";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"few scales, no legs"
"EM291";"ATM013Jul";"Anopheles";"plumbeus";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no head, no legs"
"EM292";"ATM013Jul";"Culex";"pipiens/torrentium?";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"few scales, no legs"
"EM293";"ATM013Jul";"Culex";"pipiens";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs"
"EM294";"ATM013Jul";"Culex";"pipiens";"F";1;"AT01";"KB25, closet 123";"Gravid";"Isra";2012/10/5 0:00:00;"no legs"
"EM295";"ATM013Jul";"Aedes";"geniculatus";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;
"EM296";"ATM013Jul";"Aedes";"geniculatus";"F";1;"AT01";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs"
"EM297";"A1M018Sep";"Culex";"pipiens";"F";1;"A101";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"nectar in abdomen, 1 leg"
"EM298";"PEM011Sep";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"complete"
"EM299";"E3M016Jul";"Culiseta";"annulata";"F";1;"E301";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"no legs"
"EM300";"E3M016Jul";"Anopheles";"claviger";"F";1;"E301";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"few legs, no scales, antennae"
"EM301";"E3M016Jul";"Anopheles";"claviger";"F";1;"E301";"KB25, closet 123";"No abdomen";"Isra";2012/10/5 0:00:00;"no legs, abdomen, wings, few scales"
"EM302";"E3M016Jul";"Aedes";"cinereus/geminus";"F";1;"E301";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;
"EM303";"E3M016Jul";"Aedes";"cantans";"F";1;"E301";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;"few legs"
"EM304";"E3M016Jul";"Aedes";"cantans";"F";1;"E301";"KB25, closet 123";"Empty";"Isra";2012/10/5 0:00:00;
"EM305";"TRM021Jul";"Coquillettidia";"richiardii";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs"
"EM306";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs"
"EM307";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;
"EM308";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM309";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM310";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;
"EM311";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;
"EM312";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs"
"EM313";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;
"EM314";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;
"EM315";"TRM021Jul";"Culex";"pipiens/torrentium?";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs, 1 prealar scale"
"EM316";"TRM021Jul";"Culex";"pipiens/torrentium?";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"1 prealar scale"
"EM317";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs, no head"
"EM318";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;
"EM319";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs"
"EM320";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM321";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM322";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs"
"EM323";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs"
"EM324";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;
"EM325";"TRM021Jul";"Culex";"pipiens/torrentium?";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs, few scales, 1 prealar scale?"
"EM326";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"No abdomen";"Isra";2012/10/9 0:00:00;"no legs, abdomen"
"EM327";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM328";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM329";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM330";"TRM021Jul";"Culex";"pipiens";"F";1;"TR01";"KB25, closet 123";"No abdomen";"Isra";2012/10/9 0:00:00;"few legs, abdomen"
"EM331";"TRM021Jul";"Coquillettidia";"richiardii";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs"
"EM332";"TRM021Jul";"Anopheles";"plumbeus";"F";10;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs, no antennae, 2: no abdomen"
"EM333";"TRM021Jul";"Anopheles";"plumbeus";"F";1;"TR01";"KB25, closet 123";"Gravid";"Isra";2012/10/9 0:00:00;"few legs, no antennae"
"EM334";"TRM021Jul";"Culex";"pipiens/torrentium?";"F";1;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no scales"
"EM335";"TRM021Jul";"Aedes";"geniculatus";"F";3;"TR01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"1 : no legs"
"EM336";"TRM021Jul";"Aedes";"geniculatus";"M";1;"TR01";"KB25, closet 123";"Male";"Isra";2012/10/9 0:00:00;"no legs"
"EM337";"M1M003W35";"Culex";"pipiens/torrentium?";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no scales, nectar in abdomen"
"EM338";"M1M003W35";"Culex";"pipiens/torrentium?";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no scales, nectar in abdomen"
"EM339";"M1M003W35";"Culex";"torrentium";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"nectar in abdomen, clearly prealar scales"
"EM340";"M1M003W35";"Culex";"pipiens/torrentium?";"F";1;"M101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"nectar in abdomen, 1 prealar scale"
"EM341";"M1M003W35";"Culex";"pipiens";"F";1;"M101";"KB25, closet 123";"Gravid";"Isra";2012/10/9 0:00:00;"complete"
"EM342";"N1M001Aug";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"nectar in abdomen, complete"
"EM343";"N1M001Aug";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"complete"
"EM344";"N1M001Aug";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM345";"N1M001Aug";"Culex";"pipiens/torrentium?";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs, no scales"
"EM346";"N1M001Aug";"Culex";"pipiens/torrentium?";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"broken, no scales"
"EM347";"N1M001Aug";"Aedes";"cinereus/geminus";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;
"EM348";"N1M001Aug";"Culex";"pipiens/torrentium?";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"nectar in abdomen, very sticky, no scales"
"EM349";"N1M001Aug";"Culex";"pipiens/torrentium?";"F";1;"N101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"nectar in abdomen, very sticky, no scales"
"EM350";"E1M017Aug";"Culex";"pipiens";"F";1;"E101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs, wings"
"EM351";"E1M017Aug";"Culex";"pipiens/torrentium?";"F";1;"E101";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"nectar in abdomen, no scales"
"EM352";"PEM011Aug";"Culex";"pipiens/torrentium?";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no scales"
"EM353";"PEM011Aug";"Anopheles";"claviger";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs, antennae"
"EM354";"PEM011Aug";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"No abdomen";"Isra";2012/10/9 0:00:00;"no legs, few scales, only part of abdomen"
"EM355";"PEM011Aug";"Culex";"pipiens/torrentium?";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no scales, legs"
"EM356";"PEM011Aug";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs"
"EM357";"PEM011Aug";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM358";"PEM011Aug";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM359";"PEM011Aug";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"few legs"
"EM360";"PEM011Aug";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs, 1 wing"
"EM361";"PEM011Aug";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;"no legs"
"EM362";"PEM011Aug";"Culex";"pipiens/torrentium?";"F";1;"PE01";"KB25, closet 123";"No abdomen";"Isra";2012/10/9 0:00:00;"few scales, no legs, abdomen, wings"
"EM363";"PEM011Aug";"Culex";"pipiens";"F";1;"PE01";"KB25, closet 123";"Empty";"Isra";2012/10/9 0:00:00;
