species;year
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
;2008
Culex pipiens;2007
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes punctor;2008
Culex pipiens;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2008
Culiseta annulata;2008
Anopheles claviger;2008
Culex pipiens;2008
;2008
Culex pipiens;2008
Aedes geniculatus;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex torrentium;2008
Aedes vexans;2008
Aedes punctor;2008
Anopheles plumbeus;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Aedes vexans;2008
Culiseta annulata;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes punctor;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2007
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culiseta annulata;2008
Anopheles claviger;2008
Culex pipiens;2008
Culiseta annulata;2008
Culiseta annulata;2008
;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes communis;2008
Culex pipiens;2008
Culiseta annulata;2007
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Coquillettidia richiardii;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Aedes geniculatus;2008
Culex pipiens;2008
Aedes cantans;2008
Culex pipiens;2008
Culex torrentium;2008
Anopheles claviger;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex torrentium;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cantans;2008
Culex torrentium;2008
Anopheles claviger;2008
Anopheles maculipennis;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes cinereus;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Aedes cantans;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes geniculatus;2008
Anopheles claviger;2008
Culex pipiens;2008
Aedes rusticus;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex torrentium;2008
Anopheles plumbeus;2008
Aedes geniculatus;2008
Culex pipiens;2008
Culiseta annulata;2008
Anopheles claviger;2008
Aedes punctor;2008
Aedes punctor;2008
Anopheles claviger;2008
Aedes vexans;2008
Culex pipiens;2008
Aedes punctor;2008
Culiseta annulata;2008
Aedes cantans;2008
Culex pipiens;2008
Aedes cantans;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Anopheles plumbeus;2008
Aedes cinereus;2008
Culiseta annulata;2008
Anopheles claviger;2008
Culex pipiens;2008
Aedes vexans;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles plumbeus;2008
Culiseta annulata;2008
Anopheles claviger;2008
Aedes rusticus;2008
Aedes communis;2008
Aedes rusticus;2008
Aedes geniculatus;2008
Anopheles plumbeus;2008
Aedes rusticus;2008
Culiseta annulata;2008
Anopheles claviger;
Aedes rusticus;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles maculipennis;2008
Aedes punctor;2008
Aedes cantans;2008
Anopheles plumbeus;2007
Culex pipiens;2008
Aedes punctor;2008
Culiseta annulata;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Culex pipiens;2008
Culex pipiens;2008
Anopheles claviger;2008
Aedes punctor;2008
Aedes cantans;2008
Anopheles maculipennis;2007
Aedes rusticus;2008
Culex pipiens;2008
Anopheles maculipennis;2007
Culex pipiens;2008
Anopheles claviger;2008
Anopheles plumbeus;2007
Aedes rusticus;2008
Anopheles claviger;2008
Aedes cinereus;2007
Aedes punctor;2008
Aedes punctor;2008
Culiseta annulata;2008
Culex pipiens;
Culex pipiens;2008
Aedes geniculatus;2008
Aedes cantans;2008
Aedes punctor;2008
Culex pipiens;2008
Culiseta annulata;2008
Culex pipiens;2007
Culex pipiens;2008
Anopheles plumbeus;2008
Culex pipiens;2008
Culex pipiens;2008
Aedes geniculatus;2007
Culiseta annulata;2007
Anopheles claviger;2007
Culiseta annulata;2007
Culex pipiens;2007
Aedes communis;2007
Culex pipiens;2007
Culex pipiens;2008
Culex pipiens;2007
Culex pipiens;2008
Culex pipiens;2007
Anopheles maculipennis;2007
Culex pipiens;2008
Anopheles claviger;2008
Culex pipiens;2008
Aedes geniculatus;2008
Anopheles claviger;2007
Culex pipiens;
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Aedes communis;2008
Anopheles plumbeus;2008
Aedes rusticus;2007
Aedes cantans;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles maculipennis;2007
Anopheles maculipennis;2007
Culiseta annulata;2007
Culex pipiens;2008
Culex pipiens;2007
Culex pipiens;2007
Aedes vexans;2007
Aedes cinereus;2007
Aedes punctor;2007
Culex pipiens;2007
Aedes rusticus;
Culiseta annulata;2007
Aedes vexans;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Anopheles maculipennis;2007
Aedes cantans;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Coquillettidia richiardii;2007
Aedes cinereus;2007
Aedes cinereus;2007
Culiseta annulata;2007
Anopheles claviger;2007
Culex territans;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes cinereus;2007
Culex pipiens;2007
Anopheles claviger;2008
Anopheles plumbeus;2007
Anopheles claviger;2007
Culex torrentium;2007
Culex pipiens;2007
Anopheles claviger;2007
Aedes geniculatus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Coquillettidia richiardii;2007
Anopheles claviger;2007
Culex pipiens;2007
Aedes cinereus;2007
Anopheles plumbeus;2007
Culiseta annulata;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Aedes punctor;2007
Culex pipiens;2007
Aedes geniculatus;2007
Culiseta annulata;2007
Anopheles claviger;2007
Anopheles maculipennis;2007
Culex torrentium;2007
Culex pipiens;2007
Culex torrentium;2007
Culiseta annulata;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes cinereus;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Anopheles claviger;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culiseta annulata;2007
Culiseta annulata;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Aedes cinereus;2007
Anopheles plumbeus;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Anopheles claviger;2007
Culiseta annulata;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes caspius;2007
Culex torrentium;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex torrentium;2007
Culex torrentium;2007
Aedes geniculatus;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Aedes cantans;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culiseta annulata;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes annulipes;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex torrentium;2007
;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes vexans;2007
Culex torrentium;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culiseta annulata;2007
Culex pipiens;2007
Aedes cinereus;2007
Anopheles claviger;2007
Coquillettidia richiardii;2007
Culex torrentium;2007
Anopheles claviger;2007
Culiseta annulata;2007
;2007
Aedes cantans;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes punctor;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex torrentium;2007
Aedes cinereus;2007
Culiseta annulata;2007
Culex pipiens;2007
Aedes punctor;2007
Aedes vexans;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culiseta annulata;2007
Culex pipiens;2007
Aedes vexans;2007
Aedes cantans;2007
Aedes geniculatus;2007
Aedes cinereus;2007
Aedes punctor;2007
Culex pipiens;2007
Anopheles claviger;2007
Aedes punctor;2007
Aedes cantans;2007
Culiseta annulata;2007
Culex pipiens;2007
Aedes rusticus;2007
Aedes cantans;2007
Aedes cantans;2007
Culiseta morsitans;2007
Aedes cinereus;2007
Culex pipiens;2007
Anopheles claviger;2007
Culiseta annulata;2007
Culex pipiens;2007
Aedes communis;2007
Anopheles plumbeus;2007
Culiseta annulata;2007
Culiseta annulata;2007
Anopheles claviger;2007
Coquillettidia richiardii;2007
Anopheles plumbeus;2007
Aedes japonicus;2007
Culex pipiens;2007
Culex pipiens;2007
;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Aedes punctor;2007
Culex pipiens;2007
Aedes punctor;2007
Culex torrentium;2007
Culex torrentium;2007
Aedes vexans;2007
Aedes japonicus;2007
Anopheles claviger;2007
Aedes communis;2007
Culiseta annulata;2007
Aedes punctor;2007
Aedes vexans;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes cinereus;2007
Aedes geniculatus;2007
Aedes cinereus;2007
Culex torrentium;2007
Aedes annulipes;2007
Culex pipiens;2007
Aedes punctor;2007
Culex torrentium;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex torrentium;2007
Culex pipiens;2007
Aedes cinereus;2007
Culex pipiens;2007
Aedes cantans;2007
Aedes cinereus;2007
Culiseta annulata;2007
Culex pipiens;2007
Coquillettidia richiardii;2007
Culiseta annulata;2007
Aedes punctor;2007
Aedes cinereus;2007
Aedes communis;2007
Culex pipiens;2007
Aedes punctor;2007
Aedes cinereus;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex torrentium;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Aedes detritus;2007
Culex pipiens;2007
Coquillettidia richiardii;2007
Aedes cinereus;2007
Culex pipiens;2007
Aedes cinereus;2007
Anopheles plumbeus;2007
Anopheles plumbeus;2007
Culex torrentium;2007
Culex pipiens;2007
Anopheles claviger;2007
Coquillettidia richiardii;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes rusticus;2007
Aedes caspius;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Aedes cinereus;2007
Anopheles maculipennis;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culiseta annulata;2007
Culiseta annulata;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex torrentium;2007
Aedes communis;2007
Anopheles maculipennis;2007
Culex torrentium;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes punctor;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culiseta annulata;2007
Aedes punctor;2007
Aedes geniculatus;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Anopheles maculipennis;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Aedes geniculatus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes geniculatus;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Aedes geniculatus;2007
Anopheles plumbeus;2007
Anopheles claviger;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Aedes geniculatus;2007
Aedes geniculatus;2007
Culex torrentium;2007
Culex torrentium;2007
Culex pipiens;2007
Aedes punctor;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex torrentium;2007
Culex pipiens;2007
Aedes geniculatus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culiseta annulata;2007
Culex pipiens;2007
Aedes punctor;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Aedes punctor;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes punctor;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes cantans;2007
Aedes punctor;2007
Culex torrentium;2007
Culex pipiens;2007
Aedes geniculatus;2007
Aedes geniculatus;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Aedes sticticus;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Aedes rusticus;2007
Aedes punctor;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes rusticus;2007
Aedes cantans;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes punctor;2007
Culex pipiens;2007
Aedes cantans;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes caspius;2007
Culex pipiens;2007
Aedes rusticus;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culiseta annulata;2007
Coquillettidia richiardii;2007
Aedes cantans;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Coquillettidia richiardii;2007
Aedes rusticus;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex torrentium;2007
Culiseta annulata;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Anopheles claviger;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culiseta annulata;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culiseta annulata;2007
Culiseta annulata;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Anopheles claviger;2007
Aedes punctor;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Anopheles claviger;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Anopheles claviger;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culiseta annulata;2007
Culex torrentium;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex torrentium;2007
Anopheles plumbeus;2007
Culiseta annulata;2007
Anopheles plumbeus;2007
Culiseta annulata;2007
Anopheles claviger;2007
Anopheles claviger;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Anopheles claviger;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culiseta annulata;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Coquillettidia richiardii;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes geniculatus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culiseta annulata;2007
Culex pipiens;2007
Coquillettidia richiardii;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes cantans;2007
Anopheles claviger;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Aedes cantans;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Aedes rusticus;2007
Aedes cinereus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Coquillettidia richiardii;2007
Culiseta annulata;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Aedes punctor;2007
Aedes communis;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Aedes punctor;2007
Anopheles claviger;2007
Aedes cantans;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes rusticus;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Coquillettidia richiardii;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes communis;2007
Anopheles claviger;2007
Culiseta annulata;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Anopheles claviger;2007
Aedes cantans;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes punctor;2007
Aedes cantans;2007
Culex pipiens;2007
Anopheles claviger;2007
Aedes annulipes;2007
Culex torrentium;2007
Aedes cantans;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Anopheles claviger;2007
Aedes geniculatus;2007
Aedes communis;2007
Culex pipiens;2007
Anopheles claviger;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes punctor;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Coquillettidia richiardii;2007
Culex pipiens;2007
Anopheles claviger;2007
Culiseta annulata;2007
Anopheles plumbeus;2007
Culex torrentium;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Aedes cantans;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex torrentium;2007
Culex pipiens;2007
Aedes communis;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Aedes cantans;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culiseta annulata;2007
Culex pipiens;2007
Aedes punctor;2007
Culex pipiens;2007
Culex pipiens;2007
Anopheles plumbeus;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex pipiens;2007
Culex torrentium;2007
Culex pipiens;2007
Anopheles claviger;2009
Anopheles claviger;2009
Culex pipiens;2009
Ochlerotatus cantans;2009
Culiseta annulata;2009
Aedes cinereus/geminus;2009
Aedes cinereus/geminus;2009
Anopheles claviger;2009
Anopheles claviger;2009
Culiseta morsitans;2009
Culiseta morsitans;2009
Ochlerotatus annulipes;2009
Ochlerotatus annulipes;2009
Ochlerotatus cantans;2009
Ochlerotatus punctor;2009
Ochlerotatus punctor;2009
Ochlerotatus rusticus;2009
Ochlerotatus rusticus;2009
Aedes cinereus/geminus;2009
Aedes cinereus/geminus;2009
Aedes cinereus/geminus;2009
Aedes cinereus/geminus;2009
Aedes koreicus;2009
Anopheles claviger;2009
Culex pipiens;2009
Culiseta morsitans;2009
Culiseta morsitans;2009
Ochlerotatus annulipes;2009
Ochlerotatus annulipes;2009
Ochlerotatus cantans;2009
Ochlerotatus cantans;2009
Ochlerotatus communis;2009
Ochlerotatus communis;2009
Ochlerotatus geniculatus;2009
Ochlerotatus punctor;2009
Ochlerotatus punctor;2009
Ochlerotatus rusticus;2009
Ochlerotatus rusticus;2009
Culex pipiens;2009
Culex pipiens;2009
Culex torrentium;2009
Culex torrentium;2009
Aedes cinereus/geminus;2009
Aedes cinereus/geminus;2009
Aedes koreicus;2009
Culex pipiens;2009
