"Tube number";"Sampling Code";"Breeding Site Code";"Subsite Code";"Adult/Larva";"Genus";"Species";"Sex";"Number";"Box";"Storage of Box";"Identifier";"Date ID";"Comments"
"EL154";"N1L010Sep";"N1L010";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";42;"N1Sep";"KB25, on rack";"Isra";2012/10/2 0:00:00;"tyres on silage"
"EL155";"N1L010Sep";"N1L010";"N1005";"Larva";"Aedes";"j. japonicus";"NA";1;"N1Sep";"KB25, on rack";"Isra";2012/10/2 0:00:00;"tyres on silage"
"EL156";"N1L010Sep";"N1L010";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";7;"N1Sep";"KB25, on rack";"Isra";2012/10/2 0:00:00;"tyres at the back"
"EL157";"N1L019Sep";"N1L019";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";53;"N1Sep";"KB25, on rack";"Isra";2012/10/2 0:00:00;"plastic sheet"
"EL158";"N1L022Sep";"N1L022";"N1034";"Larva";"Culex";"pipiens/torrentium";"NA";90;"N1Sep";"KB25, on rack";"Isra";2012/10/2 0:00:00;"in front"
"EL159";"N1L022Sep";"N1L022";"N1034";"Larva";"Culex";"pipiens/torrentium";"NA";85;"N1Sep";"KB25, on rack";"Isra";2012/10/2 0:00:00;"on courtyard"
"EL160";"M2L002Se1";"M2L002";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";5;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL161";"M2L002Se1";"M2L002";"M2002";"Larva";"Culiseta";"annulata";"NA";8;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL162";"M2L002Se1";"M2L002";"M2002";"Larva";"Aedes";"koreicus";"NA";2;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL163";"M2L002Se1";"M2L002";"M2002";"Larva";"Culiseta";"annulata?";"NA";3;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;"small larvae (unidentified sp.2) + 1 pupa"
"EL164";"M2L020Sep";"M2L020";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";41;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL165";"M2L020Sep";"M2L020";"M2002";"Larva";"Aedes";"koreicus";"NA";16;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL166";"M2L021Sep";"M2L021";"M2002";"Larva";"Aedes";"koreicus";"NA";24;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL167";"M2L019Sep";"M2L019";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";26;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL168";"M2L019Sep";"M2L019";"M2002";"Larva";"Aedes";"koreicus";"NA";2;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL169";"M2L022Sep";"M2L022";"M2002";"Larva";"Aedes";"koreicus";"NA";5;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL170";"M2L004Sep";"M2L004";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";46;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL171";"M2L004Sep";"M2L004";"M2003";"Larva";"Aedes";"koreicus";"NA";1;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL172";"M2L003Sep";"M2L003";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";8;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL173";"M2L003Sep";"M2L003";"M2002";"Larva";"Aedes";"koreicus";"NA";1;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL174";"M2L024Sep";"M2L024";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";24;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;"open bidon"
"EL175";"M2L025Sep";"M2L025";"M2003";"Larva";"Culiseta";"annulata";"NA";2;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;"tyres"
"EL176";"M2L026Sep";"M2L026";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";28;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;"yellow sheet"
"EL177";"M2L029Sep";"M2L029";"M2002";"Larva";"Aedes";"koreicus";"NA";26;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;
"EL178";"M2L029Sep";"M2L029";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";16;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;"small larvae"
"EL179";"M2L030Sep";"M2L030";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";13;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;"+ 1 pupa"
"EL180";"M2L023Sep";"M2L023";"M2010";"Larva";"Culex";"pipiens/torrentium";"NA";15;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;"1 pupa"
"EL181";"M2L023Sep";"M2L023";"M2010";"Larva";"Anopheles";"plumbeus";"NA";36;"M2Sep";"KB25, closet 123";"Isra";2012/10/2 0:00:00;"a lot of small larvae"
"EL182";"M2L009Sep";"M2L009";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";5;"M2Sep";"KB25, closet 123";"Isra";2012/10/3 0:00:00;
"EL183";"M2L010Sep";"M2L010";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";19;"M2Sep";"KB25, closet 123";"Isra";2012/10/3 0:00:00;"bucket 1"
"EL184";"M2L010Sep";"M2L010";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";28;"M2Sep";"KB25, closet 123";"Isra";2012/10/3 0:00:00;"bucket 2"
"EL185";"M2L010Sep";"M2L010";"M2016";"Larva";"Culiseta";"annulata";"NA";9;"M2Sep";"KB25, closet 123";"Isra";2012/10/3 0:00:00;"bucket 2, + small larvae (unidentified sp.2)"
"EL186";"M2L016Sep";"M2L016";"M2013";"Larva";"Culex";"pipiens/torrentium";"NA";31;"M2Sep";"KB25, closet 123";"Isra";2012/10/3 0:00:00;
"EL187";"M2L017Sep";"M2L017";"M2013";"Larva";"Culex";"pipiens/torrentium";"NA";26;"M2Sep";"KB25, closet 123";"Isra";2012/10/3 0:00:00;
"EL188";"M2L033Sep";"M2L033";"M2013";"Larva";"Culex";"pipiens/torrentium";"NA";29;"M2Sep";"KB25, closet 123";"Isra";2012/10/3 0:00:00;
"EL189";"M2L033Sep";"M2L033";"M2013";"Larva";"Culiseta";"annulata";"NA";15;"M2Sep";"KB25, closet 123";"Isra";2012/10/3 0:00:00;"+ small larvae (unidentified sp.2)"
"EL190";"VPL001Oct";"VPL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";59;"VP";"KB25, closet 123";"Isra";2012/10/18 0:00:00;"1 pupa"
"EL191";"TRL001Oct";"TRL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";9;"TR";"KB25, closet 123";"Isra";2012/10/18 0:00:00;
"EL192";"TRL001Oct";"TRL001";"NA";"Larva";"Anopheles";"plumbeus";"NA";11;"TR";"KB25, closet 123";"Isra";2012/10/18 0:00:00;"2 pupae"
"EL193";"M2L002Oc1";"M2L002";"M2002";"Larva";"Culiseta";"annulata";"NA";1;"M2Oct";"KB25, closet 123";"Isra";2012/10/18 0:00:00;
"EL194";"M2L002Oc1";"M2L002";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";1;"M2Oct";"KB25, closet 123";"Isra";2012/10/18 0:00:00;
"EL195";"M2L019Oct";"M2L019";"M2002";"Adult";"Aedes";"koreicus";"F";1;"COL";"KB25, closet 123";"Isra";2012/10/18 0:00:00;"in collection"
"EL196";"M2L019Oct";"M2L019";"M2002";"Adult";"Aedes";"koreicus";"F";1;"COL";"KB25, closet 123";"Isra";2012/10/18 0:00:00;"in collection"
"EL197";"M2L003Oct";"M2L003";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";36;"M2Oct";"KB25, closet 123";"Isra";2012/10/18 0:00:00;"2 pupae"
"EL198";"M2L003Oct";"M2L003";"M2002";"Larva";"Aedes";"koreicus";"NA";3;"M2Oct";"KB25, closet 123";"Isra";2012/10/18 0:00:00;"1 small larva"
"EL199";"M2L020Oc1";"M2L020";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";42;"M2Oct";"KB25, closet 123";"Isra";2012/10/18 0:00:00;
"EL200";"M2L020Oc1";"M2L020";"M2002";"Larva";"Aedes";"koreicus";"NA";1;"M2Oct";"KB25, closet 123";"Isra";2012/10/18 0:00:00;
"EL201";"M2L021Oc1";"M2L021";"M2002";"Larva";"Aedes";"koreicus";"NA";4;"M2Oct";"KB25, closet 123";"Isra";2012/10/18 0:00:00;
"EL202";"M2L022Oc1";"M2L022";"M2002";"Larva";"Aedes";"koreicus";"NA";6;"M2Oct";"KB25, closet 123";"Isra";2012/10/18 0:00:00;
"EL203";"M2L004Oct";"M2L004";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";23;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;"1 pupa"
"EL204";"M2L006Oct";"M2L006";"M2003";"Larva";"Aedes";"koreicus";"NA";15;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;
"EL205";"M2L024Oct";"M2L024";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";11;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;
"EL206";"M2L025Oct";"M2L025";"M2003";"Larva";"Aedes";"koreicus";"NA";3;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;
"EL207";"M2L025Oct";"M2L025";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";6;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;
"EL208";"M2L026Oct";"M2L026";"M2003";"Larva";"Culex";"pipiens/torrentium";"NA";5;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;
"EL209";"M2L026Oct";"M2L026";"M2003";"Larva";"Culiseta";"annulata";"NA";9;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;"1 small larvae"
"EL210";"M2L019Oct";"M2L019";"M2002";"Adult";"Culex";"pipiens";"M";1;"M201";"KB25, closet 123";"Isra";2012/10/23 0:00:00;
"EL211";"N1L009Oct";"N1L009";"N1005";"Adult";"Aedes";"j. japonicus";"F";1;"N101";"KB25, closet 123";"Isra";2012/10/23 0:00:00;"1 leg broken"
"EL212";"N1L009Oct";"N1L009";"N1005";"Adult";"Aedes";"j. japonicus";"F";1;"N101";"KB25, closet 123";"Isra";2012/10/23 0:00:00;"few legs"
"EL213";"M2L010Oct";"M2L010";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";12;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;"bucket 2, 1 pupa"
"EL214";"M2L010Oct";"M2L010";"M2016";"Larva";"Culiseta";"annulata";"NA";13;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;"bucket 2"
"EL215";"M2L010Oct";"M2L010";"M2016";"Larva";"Culex";"pipiens/torrentium";"NA";25;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;"bucket 1"
"EL216";"M2L016Oct";"M2L016";"M2013";"Larva";"Culex";"pipiens/torrentium";"NA";4;"M2Oct";"KB25, closet 123";"Isra";2012/10/23 0:00:00;"metal water through"
"EL217";"M2L017Oct";"M2L017";"M2013";"Larva";"Culex";"pipiens/torrentium";"NA";1;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL218";"M2L033Oct";"M2L033";"M2013";"Larva";"Culex";"pipiens/torrentium";"NA";13;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL219";"M2L033Oct";"M2L033";"M2013";"Larva";"Culiseta";"annulata";"NA";18;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL220";"M2L035Oct";"M2L035";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";1;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL221";"M2L037Oct";"M2L037";"M2014";"Larva";"Culex";"pipiens/torrentium";"NA";25;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL222";"M2L020Oc1";"M2L020";"M2002";"Adult";"Aedes";"koreicus";"F";1;"COL";"KB25, closet 123";"Isra";2012/10/25 0:00:00;"in collection"
"EL223";"M2L020Oc1";"M2L020";"M2002";"Adult";"Aedes";"koreicus";"F";1;"COL";"KB25, closet 123";"Isra";2012/10/25 0:00:00;"in collection"
"EL224";"M2L020Oc1";"M2L020";"M2002";"Adult";"Aedes";"koreicus";"F";1;"M201";"KB25, closet 123";"Isra";2012/10/25 0:00:00;"complete"
"EL225";"M2L020Oc1";"M2L020";"M2002";"Adult";"Aedes";"koreicus";"M";1;"COL";"KB25, closet 123";"Isra";2012/10/25 0:00:00;"in collection"
"EL226";"ATL001Oct";"ATL001";"NA";"Larva";"Culex";"pipiens/torrentium";"NA";60;"AT";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL227";"ATL001Oct";"ATL001";"NA";"Larva";"Aedes";"geniculatus";"NA";1;"AT";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL228";"ATL001Oct";"ATL001";"NA";"Larva";"Anopheles";"plumbeus";"NA";4;"AT";"KB25, closet 123";"Isra";2012/10/25 0:00:00;"Small larvae"
"EL229";"M2L022Oc2";"M2L022";"M2002";"Larva";"Aedes";"koreicus";"NA";2;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL230";"M2L023Oct";"M2L023";"M2010";"Larva";"Culex";"pipiens/torrentium";"NA";2;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL231";"M2L023Oct";"M2L023";"M2010";"Larva";"Anopheles";"plumbeus";"NA";32;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL232";"M2L040Oct";"M2L040";"M2010";"Larva";"Culex";"pipiens/torrentium";"NA";11;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL233";"M2L039Oct";"M2L039";"M2007";"Larva";"Culex";"pipiens/torrentium";"NA";9;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;
"EL234";"M2L038Oct";"M2L038";"M2007";"Larva";"Culex";"pipiens/torrentium";"NA";17;"M2Oct";"KB25, closet 123";"Isra";2012/10/25 0:00:00;"1 pupa"
"EL235";"N1L001Oc1";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";61;"N1Oct";"KB25, on rack";"Isra";2012/10/25 0:00:00;"right, in front"
"EL236";"N1L001Oc1";"N1L001";"N1007";"Larva";"Aedes";"j. japonicus";"NA";9;"N1Oct";"KB25, on rack";"Isra";2012/10/25 0:00:00;"right, in front"
"EL237";"N1L001Oc1";"N1L001";"N1007";"Larva";"Culex";"h. hortensis";"NA";6;"N1Oct";"KB25, on rack";"Isra";2012/10/25 0:00:00;"right, in front"
"EL238";"N1L001Oc1";"N1L001";"N1007";"Larva";"Aedes";"j. japonicus";"NA";15;"N1Oct";"KB25, on rack";"Isra";2012/10/25 0:00:00;"left, in front"
"EL239";"N1L004Oct";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";25;"N1Oct";"KB25, on rack";"Isra";2012/10/25 0:00:00;"in front, a lot of small larvae"
"EL240";"N1L004Oct";"N1L004";"N1007";"Larva";"Anopheles";"plumbeus";"NA";7;"N1Oct";"KB25, on rack";"Isra";2012/10/25 0:00:00;"in front"
"EL241";"N1L004Oct";"N1L004";"N1007";"Larva";"Aedes";"geniculatus";"NA";3;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"at the back, tyres in meadow"
"EL242";"N1L004Oct";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";7;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"at the back, tyres in meadow"
"EL243";"N1L004Oct";"N1L004";"N1007";"Larva";"Anopheles";"plumbeus";"NA";36;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"at the back, tyres in meadow"
"EL244";"N1L004Oct";"N1L004";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";28;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"at the back (2/27)"
"EL245";"N1L009Oct";"N1L009";"N1005";"Larva";"Aedes";"j. japonicus";"NA";1;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"rain water barrel, small larva"
"EL246";"N1L010Oct";"N1L010";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";21;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"tyres on old silage, 1 pupa"
"EL247";"N1L010Oct";"N1L010";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";17;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"tyres on new silage + stable"
"EL248";"N1L001Oc1";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";191;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"right, at the back"
"EL249";"N1L001Oc1";"N1L001";"N1007";"Larva";"Aedes";"j. japonicus";"NA";25;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"right, at the back"
"EL250";"N1L001Oc1";"N1L001";"N1007";"Larva";"Anopheles";"plumbeus";"NA";1;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"right, at the back, small larva"
"EL251";"N1L010Oct";"N1L010";"N1005";"Larva";"Culiseta";"annulata";"NA";1;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"tyres on new silage + stable"
"EL252";"N1L019Oct";"N1L019";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";1;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"plastic sheet"
"EL253";"N1L022Oct";"N1L022";"N1034";"Larva";"Culex";"pipiens/torrentium";"NA";93;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"in front"
"EL254";"N1L022Oct";"N1L022";"N1034";"Larva";"Culiseta";"annulata";"NA";1;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"in front"
"EL255";"N1L022Oct";"N1L022";"N1034";"Larva";"Culex";"pipiens/torrentium";"NA";54;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"on courtyard"
"EL256";"M2L020Oc2";"M2L020";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";3;"M2Oct";"KB25, closet 123";"Isra";2012/10/31 0:00:00;
"EL257";"M2L002Oc2";"M2L002";"M2002";"Larva";"Culex";"pipiens/torrentium";"NA";4;"M2Oct";"KB25, closet 123";"Isra";2012/10/31 0:00:00;
"EL258";"N1L023Oct";"N1L023";"N1039";"Larva";"Culex";"pipiens/torrentium";"NA";1;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;
"EL259";"N1L030Oc1";"N1L030";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";17;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;
"EL260";"N1L030Oc1";"N1L030";"N1005";"Larva";"Aedes";"j. japonicus";"NA";1;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;
"EL261";"N1L001Oc2";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";4;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;"at the back"
"EL262";"N1L018Oct";"N1L018";"N1036";"Larva";"Culex";"pipiens/torrentium";"NA";10;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;
"EL263";"N1L027Oct";"N1L027";"N1036";"Larva";"Culex";"pipiens/torrentium";"NA";46;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;
"EL264";"N1L029Oct";"N1L029";"N1024";"Larva";"Culex";"pipiens/torrentium";"NA";2;"N1Oct";"KB25, on rack";"Isra";2012/10/31 0:00:00;
"EL265";"N1L030Oc2";"N1L030";"N1005";"Adult";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL266";"N1L030Oc2";"N1L030";"N1005";"Adult";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL267";"N1L030Oc2";"N1L030";"N1005";"Adult";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL268";"N1L030Oc2";"N1L030";"N1005";"Adult";"Culex";"pipiens";"F";1;"N101";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL269";"N1L030Oc2";"N1L030";"N1005";"Adult";"Aedes";"j. japonicus";"F";1;"N101";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL270";"N1L001Oc2";"N1L001";"N1007";"Adult";"Aedes";"j. japonicus";"F";1;"N101";"KB25, closet 123";"Isra";2012/11/5 0:00:00;"at the back"
"EL271";"N1L001Oc2";"N1L001";"N1007";"Adult";"Aedes";"j. japonicus";"M";1;"N101";"KB25, closet 123";"Isra";2012/11/5 0:00:00;"at the back"
"EL272";"M2L002Oc2";"M2L002";"M2002";"Adult";"Culex";"pipiens";"F";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL273";"M2L020Oc2";"M2L020";"M2002";"Adult";"Culex";"pipiens";"M";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;"fallen in water after eclosion"
"EL274";"M2L020Oc2";"M2L020";"M2002";"Adult";"Culex";"pipiens";"M";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;"fallen in water after eclosion"
"EL275";"M2L020Oc2";"M2L020";"M2002";"Adult";"Culex";"pipiens";"F";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;"fallen in water after eclosion"
"EL276";"N1L001Oc2";"N1L001";"N1007";"Larva";"Culex";"pipiens/torrentium";"NA";12;"N1Oct";"KB25, on rack";"Isra";2012/11/5 0:00:00;"right, in front"
"EL277";"N1L001Oc2";"N1L001";"N1007";"Adult";"Aedes";"j. japonicus";"F";1;"N101";"KB25, closet 123";"Isra";2012/11/5 0:00:00;"at the back"
"EL278";"M2L002Oc2";"M2L002";"M2002";"Adult";"Culex";"pipiens";"F";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL279";"M2L022Oc2";"M2L022";"M2002";"Adult";"Aedes";"koreicus";"F";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL280";"M2L022Oc2";"M2L022";"M2002";"Adult";"Aedes";"koreicus";"M";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL281";"M2L023Oct";"M2L023";"M2010";"Adult";"Culex";"torrentium";"F";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL282";"M2L023Oct";"M2L023";"M2010";"Adult";"Culex";"torrentium";"F";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL283";"M2L038Oct";"M2L038";"M2007";"Adult";"Culex";"pipiens";"F";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL284";"M2L038Oct";"M2L038";"M2007";"Adult";"Culex";"pipiens";"F";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL285";"M2L038Oct";"M2L038";"M2007";"Adult";"Culex";"torrentium";"M";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL286";"M2L038Oct";"M2L038";"M2007";"Adult";"Culex";"pipiens";"F";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL287";"M2L038Oct";"M2L038";"M2007";"Adult";"Culex";"pipiens";"F";1;"M201";"KB25, closet 123";"Isra";2012/11/5 0:00:00;
"EL288";"M2L023Oct";"M2L023";"M2010";"Adult";"Culex";"pipiens/torrentium";"M";1;"M201";"KB25, closet 123";"Isra";2012/11/6 0:00:00;"1 prealar scale"
"EL289";"N1L030Oc2";"N1L030";"N1005";"Adult";"Aedes";"j. japonicus";"F";1;"COL";"KB25, closet 123";"Isra";2012/11/6 0:00:00;"in collection"
"EL290";"N1L001Ap1";"N1L001";"N1007";"Larva";"Aedes";"j. japonicus";"NA";122;"N1Apr";"KB25, on rack";"Isra";2012/4/17 0:00:00;
"EL291";"N1L001Ap1";"N1L001";"N1007";"Larva";"Aedes";"geniculatus";"NA";319;"N1Apr";"KB25, on rack";"Isra";2012/4/17 0:00:00;
"EL292";"N1L004Ap1";"N1L004";"N1007";"Larva";"Aedes";"geniculatus";"NA";100;"N1Apr";"KB25, on rack";"Isra";2012/4/17 0:00:00;
"EL293";"N1L011Ap1";"N1L011";"N1006";"Larva";"Aedes";"j. japonicus";"NA";49;"N1Apr";"KB25, on rack";"Isra";2012/4/18 0:00:00;
"EL294";"N1L012Ap1";"N1L012";"N1014";"Larva";"Aedes";"j. japonicus";"NA";1;"N1Apr";"KB25, on rack";"Isra";2012/4/18 0:00:00;
"EL295";"N1L010Apr";"N1L010";"N1005";"Larva";"Culiseta";"annulata";"NA";24;"N1Apr";"KB25, on rack";"Isra";2012/4/18 0:00:00;
"EL296";"N1L010Apr";"N1L010";"N1005";"Larva";"Culex";"pipiens/torrentium";"NA";1;"N1Apr";"KB25, on rack";"Isra";2012/4/18 0:00:00;
"EL297";"N1L004Ap1";"N1L004";"N1007";"Larva";"Culiseta";"annulata";"NA";19;"N1Apr";"KB25, on rack";"Isra";2012/4/17 0:00:00;"small larvae (unid sp.1)"
"EL298";"N1L004Ap2";"N1L004";"N1007";"Larva";"Aedes";"geniculatus";"NA";9;"N1Apr";"KB25, on rack";"Isra";2012/4/30 0:00:00;
