species;decimallatitude;decimallongitude;eventdate;day;month;year
Aedes communis;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Culex pipiens;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Culex pipiens;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Culiseta annulata;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Aedes vexans;509.347;541.562;2008-08-26T02:00Z;26;8;2008
Culiseta annulata;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Anopheles maculipennis;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Aedes sticticus;5.094.508;513.359;2008-08-19T02:00Z;19;8;2008
Culex pipiens;50.950.611;531.507;2008-08-26T02:00Z;26;8;2008
;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Aedes sticticus;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Culex pipiens;5.105.722;558.181;2008-08-12T02:00Z;12;8;2008
Aedes sticticus;51.165.871;436.981;2008-06-26T02:00Z;26;6;2008
Coquillettidia richiardii;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Aedes annulipes;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Aedes cinereus;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Culiseta annulata;50.950.611;531.507;2008-08-26T02:00Z;26;8;2008
Aedes communis;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Aedes cantans;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Culiseta morsitans;51.119.259;512.105;2008-08-13T02:00Z;13;8;2008
Aedes communis;50.743.771;600.961;2008-05-12T02:00Z;12;5;2008
Aedes sticticus;;;2008-09-03T02:00Z;3;9;2008
Culiseta morsitans;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Anopheles maculipennis;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Anopheles maculipennis;509.347;541.562;2008-08-26T02:00Z;26;8;2008
Aedes cinereus;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Aedes punctor;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Aedes cantans;51.119.259;512.105;2008-08-13T02:00Z;13;8;2008
Aedes sticticus;509.347;541.562;2008-08-26T02:00Z;26;8;2008
Aedes cantans;51.366.539;501.418;2008-06-11T02:00Z;11;6;2008
Aedes cinereus;51.119.259;512.105;2008-08-13T02:00Z;13;8;2008
Culiseta annulata;509.347;541.562;2008-08-26T02:00Z;26;8;2008
Anopheles plumbeus;51.165.871;436.981;2008-06-26T02:00Z;26;6;2008
Aedes cinereus;51.119.259;512.105;2008-08-13T02:00Z;13;8;2008
Anopheles plumbeus;509.347;541.562;2008-08-26T02:00Z;26;8;2008
Aedes geniculatus;50.919.128;485.388;2008-05-06T02:00Z;6;5;2008
Culex pipiens;509.347;541.562;2008-08-26T02:00Z;26;8;2008
Culiseta morsitans;51.165.871;436.981;2008-06-26T02:00Z;26;6;2008
Aedes cantans;51.119.259;512.105;2008-08-13T02:00Z;13;8;2008
Culex pipiens;51.119.259;512.105;2008-08-13T02:00Z;13;8;2008
Aedes vexans;51.119.259;512.105;2008-08-13T02:00Z;13;8;2008
Aedes cinereus;509.347;541.562;2008-08-26T02:00Z;26;8;2008
Aedes punctor;51.119.259;512.105;2008-08-13T02:00Z;13;8;2008
Anopheles maculipennis;50.975.208;530.223;2008-06-23T02:00Z;23;6;2008
Aedes punctor;50.919.128;485.388;2008-05-06T02:00Z;6;5;2008
Aedes punctor;51.232.121;324.082;2008-06-15T02:00Z;15;6;2008
;51.119.259;512.105;2008-08-13T02:00Z;13;8;2008
Aedes sticticus;51.119.259;512.105;2008-08-13T02:00Z;13;8;2008
Aedes sticticus;50.950.611;531.507;2008-08-26T02:00Z;26;8;2008
Aedes communis;50.919.128;485.388;2008-05-06T02:00Z;6;5;2008
Aedes vexans;5.105.722;558.181;2008-08-12T02:00Z;12;8;2008
Aedes sticticus;51.147.461;520.576;2008-08-20T02:00Z;20;8;2008
Aedes geniculatus;5.122.261;460.218;2008-06-30T02:00Z;30;6;2008
Aedes cantans;51.147.461;520.576;2008-08-20T02:00Z;20;8;2008
Anopheles plumbeus;;;2008-09-03T02:00Z;3;9;2008
Aedes cinereus;51.147.461;520.576;2008-08-20T02:00Z;20;8;2008
Aedes punctor;51.147.461;520.576;2008-08-20T02:00Z;20;8;2008
Culex pipiens;50.919.128;485.388;2008-05-06T02:00Z;6;5;2008
Culex territans;51.165.871;436.981;2008-06-26T02:00Z;26;6;2008
Aedes rusticus;;;2008-06-03T02:00Z;3;6;2008
Aedes cantans;51.165.871;436.981;2008-06-26T02:00Z;26;6;2008
Culiseta annulata;;;2008-09-03T02:00Z;3;9;2008
Anopheles plumbeus;51.147.461;520.576;2008-08-20T02:00Z;20;8;2008
Aedes geniculatus;51.165.871;436.981;2008-06-26T02:00Z;26;6;2008
Anopheles claviger;50.919.128;485.388;2008-05-06T02:00Z;6;5;2008
Aedes rusticus;50.919.128;485.388;2008-05-06T02:00Z;6;5;2008
Culiseta annulata;51.165.871;436.981;2008-06-26T02:00Z;26;6;2008
Anopheles claviger;509.347;541.562;2008-08-26T02:00Z;26;8;2008
Aedes vexans;51.147.461;520.576;2008-08-20T02:00Z;20;8;2008
Anopheles claviger;51.165.871;436.981;2008-06-26T02:00Z;26;6;2008
Anopheles plumbeus;50.703.899;408.401;2008-06-24T02:00Z;24;6;2008
Anopheles plumbeus;51.073.509;33.767;2008-06-29T02:00Z;29;6;2008
Culex pipiens;51.147.461;520.576;2008-08-20T02:00Z;20;8;2008
Aedes sticticus;50.743.771;600.961;2008-05-12T02:00Z;12;5;2008
Anopheles claviger;51.196.499;493.018;2008-06-25T02:00Z;25;6;2008
Culex pipiens;51.073.509;33.767;2008-06-29T02:00Z;29;6;2008
Aedes geniculatus;50.703.899;408.401;2008-06-24T02:00Z;24;6;2008
Culex pipiens;50.703.899;408.401;2008-06-24T02:00Z;24;6;2008
Anopheles claviger;51.232.121;324.082;2008-06-15T02:00Z;15;6;2008
Aedes rusticus;50.703.899;408.401;2008-06-24T02:00Z;24;6;2008
Culex pipiens;50.972.752;37.178;2008-08-25T02:00Z;25;8;2008
Culex pipiens;5.062.505;347.232;2008-08-31T02:00Z;31;8;2008
Aedes cantans;50.703.899;408.401;2008-06-24T02:00Z;24;6;2008
Aedes punctor;50.743.771;600.961;2008-05-12T02:00Z;12;5;2008
Aedes cantans;50.919.128;485.388;2008-05-06T02:00Z;6;5;2008
Aedes rusticus;51.140.381;404.787;2008-05-12T02:00Z;12;5;2008
Culiseta annulata;51.073.509;33.767;2008-06-29T02:00Z;29;6;2008
Culex pipiens;51.232.121;324.082;2008-06-15T02:00Z;15;6;2008
Aedes geniculatus;50.703.899;408.401;2008-06-24T02:00Z;24;6;2008
Aedes communis;50.703.899;408.401;2008-06-24T02:00Z;24;6;2008
Aedes cinereus;50.703.899;408.401;2008-06-24T02:00Z;24;6;2008
Aedes caspius;50.972.752;37.178;2008-08-25T02:00Z;25;8;2008
Coquillettidia richiardii;51.165.871;436.981;2008-06-26T02:00Z;26;6;2008
Anopheles claviger;50.774.681;351.012;2008-07-06T02:00Z;6;7;2008
Aedes cantans;50.972.752;37.178;2008-08-25T02:00Z;25;8;2008
Culiseta annulata;51.029.701;442.332;2008-07-28T02:00Z;28;7;2008
Aedes communis;51.073.509;33.767;2008-06-29T02:00Z;29;6;2008
Culex pipiens;50.972.752;37.178;2008-08-25T02:00Z;25;8;2008
Aedes cinereus;5.105.722;558.181;2008-08-12T02:00Z;12;8;2008
Culex pipiens;51.147.461;520.576;2008-08-20T02:00Z;20;8;2008
Culex pipiens;50.774.681;351.012;2008-07-06T02:00Z;6;7;2008
Aedes cinereus;51.100.739;33.234;2008-06-29T02:00Z;29;6;2008
Culex pipiens;50.774.681;351.012;2008-07-06T02:00Z;6;7;2008
Culex pipiens;5.050.441;352.686;2008-07-07T02:00Z;7;7;2008
Aedes cantans;51.140.381;404.787;2008-05-12T02:00Z;12;5;2008
Aedes communis;5.084.256;290.864;2008-08-10T02:00Z;10;8;2008
Aedes cinereus;51.140.381;404.787;2008-05-12T02:00Z;12;5;2008
Culiseta annulata;51.147.461;520.576;2008-08-20T02:00Z;20;8;2008
Culiseta annulata;51.144.161;343.714;2008-09-08T02:00Z;8;9;2008
Culex pipiens;;;2008-06-03T02:00Z;3;6;2008
Coquillettidia richiardii;51.029.701;442.332;2008-07-28T02:00Z;28;7;2008
Culex pipiens;51.029.701;442.332;2008-07-28T02:00Z;28;7;2008
Anopheles plumbeus;51.140.381;404.787;2008-05-12T02:00Z;12;5;2008
Culex pipiens;51.100.739;33.234;2008-06-29T02:00Z;29;6;2008
Anopheles plumbeus;51.232.121;324.082;2008-06-15T02:00Z;15;6;2008
Culex pipiens;51.100.739;33.234;2008-06-29T02:00Z;29;6;2008
Culiseta annulata;51.050.041;351.358;2008-09-08T02:00Z;8;9;2008
Culex pipiens;51.029.701;442.332;2008-07-28T02:00Z;28;7;2008
Culex pipiens;51.144.161;343.714;2008-09-08T02:00Z;8;9;2008
Culex pipiens;51.050.041;351.358;2008-09-08T02:00Z;8;9;2008
Culex pipiens;51.050.571;366.617;2008-09-01T02:00Z;1;9;2008
Anopheles claviger;51.029.701;442.332;2008-07-28T02:00Z;28;7;2008
Aedes vexans;50.774.681;351.012;2008-07-06T02:00Z;6;7;2008
Anopheles plumbeus;50.972.752;37.178;2008-08-25T02:00Z;25;8;2008
Culex pipiens;51.165.871;436.981;2008-06-26T02:00Z;26;6;2008
Aedes cinereus;51.029.701;442.332;2008-07-28T02:00Z;28;7;2008
Culex pipiens;50.811.562;415.423;2008-06-10T02:00Z;10;6;2008
Aedes geniculatus;506.404;339.798;2008-06-30T02:00Z;30;6;2008
Culex pipiens;5.077.272;370.465;2008-09-07T02:00Z;7;9;2008
Culex pipiens;506.404;339.798;2008-06-30T02:00Z;30;6;2008
Culex pipiens;506.404;339.798;2008-06-30T02:00Z;30;6;2008
Aedes punctor;5.062.505;347.232;2008-08-31T02:00Z;31;8;2008
Culex pipiens;51.078.178;327.973;2007-09-16T02:00Z;16;9;2007
Culex pipiens;50.694.481;390.298;2008-09-07T02:00Z;7;9;2008
Culex pipiens;50.748.531;389.645;2008-08-31T02:00Z;31;8;2008
Aedes caspius;51.140.381;404.787;2008-05-12T02:00Z;12;5;2008
Culex pipiens;51.190.632;429.414;2008-08-11T02:00Z;11;8;2008
Anopheles plumbeus;50.811.562;415.423;2008-06-10T02:00Z;10;6;2008
Culex pipiens;5.050.441;352.686;2008-07-07T02:00Z;7;7;2008
Aedes cantans;5.050.441;352.686;2008-07-07T02:00Z;7;7;2008
Aedes communis;51.100.739;33.234;2008-06-29T02:00Z;29;6;2008
Culex pipiens;50.748.531;389.645;2008-08-31T02:00Z;31;8;2008
Culex torrentium;51.078.178;327.973;2007-09-16T02:00Z;16;9;2007
Culex pipiens;50.714.298;394.338;2008-09-07T02:00Z;7;9;2008
Culex pipiens;51.078.178;327.973;2007-09-16T02:00Z;16;9;2007
Culex pipiens;51.190.632;429.414;2008-08-11T02:00Z;11;8;2008
Aedes cantans;50.694.481;390.298;2008-09-07T02:00Z;7;9;2008
Culex pipiens;51.144.161;343.714;2008-09-08T02:00Z;8;9;2008
Culex pipiens;;;2008-09-03T02:00Z;3;9;2008
Culex pipiens;50.694.481;390.298;2008-09-07T02:00Z;7;9;2008
Culex pipiens;50.908.829;423.258;2008-09-09T02:00Z;9;9;2008
Anopheles claviger;51.050.571;366.617;2008-09-01T02:00Z;1;9;2008
Culex pipiens;50.854.561;464.318;2008-05-20T02:00Z;20;5;2008
Culex pipiens;50.519.341;338.339;2008-07-07T02:00Z;7;7;2008
Culiseta annulata;50.943.619;433.755;2008-06-03T02:00Z;3;6;2008
Anopheles claviger;50.750.469;499.526;2008-07-29T02:00Z;29;7;2008
Culex pipiens;5.084.256;290.864;2008-08-10T02:00Z;10;8;2008
Culex pipiens;50.961.788;33.369;2008-06-01T02:00Z;1;6;2008
Culex pipiens;51.050.041;351.358;2008-09-08T02:00Z;8;9;2008
Culex pipiens;51.019.859;434.598;2008-05-26T02:00Z;26;5;2008
Culex pipiens;50.802.399;420.593;2008-06-17T02:00Z;17;6;2008
Culiseta annulata;51.050.571;366.617;2008-09-01T02:00Z;1;9;2008
Culex pipiens;5.103.421;43.146;2008-05-26T02:00Z;26;5;2008
Aedes cantans;51.019.859;434.598;2008-05-26T02:00Z;26;5;2008
Anopheles claviger;510.555;39.979;2008-05-19T02:00Z;19;5;2008
Culiseta morsitans;51.029.701;442.332;2008-07-28T02:00Z;28;7;2008
Culex pipiens;50.795.132;290.024;2008-05-18T02:00Z;18;5;2008
Anopheles claviger;51.190.632;429.414;2008-08-11T02:00Z;11;8;2008
Anopheles claviger;50.967.541;265.741;2008-07-27T02:00Z;27;7;2008
Culex pipiens;50.943.619;433.755;2008-06-03T02:00Z;3;6;2008
Aedes vexans;50.972.752;37.178;2008-08-25T02:00Z;25;8;2008
Culiseta annulata;51.078.178;327.973;2007-09-16T02:00Z;16;9;2007
Anopheles claviger;50.802.399;420.593;2008-06-17T02:00Z;17;6;2008
Culex pipiens;50.921.501;269.963;2008-07-27T02:00Z;27;7;2008
Culiseta annulata;50.921.501;269.963;2008-07-27T02:00Z;27;7;2008
Anopheles claviger;50.921.501;269.963;2008-07-27T02:00Z;27;7;2008
Culex pipiens;50.775.188;498.179;2008-07-29T02:00Z;29;7;2008
Anopheles plumbeus;50.802.399;420.593;2008-06-17T02:00Z;17;6;2008
Anopheles claviger;506.404;339.798;2008-06-30T02:00Z;30;6;2008
Aedes geniculatus;50.802.399;420.593;2008-06-17T02:00Z;17;6;2008
Culex pipiens;51.134.159;362.722;2008-09-01T02:00Z;1;9;2008
Culex pipiens;50.674.721;38.808;2008-07-01T02:00Z;1;7;2008
Culiseta annulata;50.775.188;498.179;2008-07-29T02:00Z;29;7;2008
Anopheles claviger;50.796.001;346.793;2008-06-16T02:00Z;16;6;2008
Culex pipiens;50.827.042;460.865;2008-05-20T02:00Z;20;5;2008
Anopheles plumbeus;50.974.361;38.969;2008-06-02T02:00Z;2;6;2008
Culex pipiens;51.134.159;362.722;2008-09-01T02:00Z;1;9;2008
Culex pipiens;50.674.721;38.808;2008-07-01T02:00Z;1;7;2008
Culex pipiens;50.921.501;269.963;2008-07-27T02:00Z;27;7;2008
Anopheles claviger;50.775.188;498.179;2008-07-29T02:00Z;29;7;2008
Culex pipiens;50.919.399;354.632;2008-06-09T02:00Z;9;6;2008
Culex pipiens;50.941.002;292.602;2007-08-12T02:00Z;12;8;2007
Culiseta annulata;50.943.619;433.755;2008-06-03T02:00Z;3;6;2008
Culex pipiens;5.098.991;300.464;2008-08-10T02:00Z;10;8;2008
Anopheles plumbeus;51.100.739;33.234;2008-06-29T02:00Z;29;6;2008
Culex pipiens;50.775.188;498.179;2008-07-29T02:00Z;29;7;2008
Culiseta annulata;50.802.399;420.593;2008-06-17T02:00Z;17;6;2008
Culex pipiens;50.967.541;265.741;2008-07-27T02:00Z;27;7;2008
Culiseta annulata;51.134.159;362.722;2008-09-01T02:00Z;1;9;2008
Culex pipiens;50.864.208;383.629;2008-08-25T02:00Z;25;8;2008
Culex pipiens;50.787.041;281.502;2008-05-18T02:00Z;18;5;2008
Culex pipiens;50.974.361;38.969;2008-06-02T02:00Z;2;6;2008
Culex pipiens;50.827.042;460.865;2008-05-20T02:00Z;20;5;2008
Culex pipiens;50.750.469;499.526;2008-07-29T02:00Z;29;7;2008
Culex pipiens;50.848.469;482.665;2008-08-05T02:00Z;5;8;2008
Culex pipiens;5.073.967;357.189;2008-08-31T02:00Z;31;8;2008
Culex pipiens;50.848.469;482.665;2008-08-05T02:00Z;5;8;2008
Culex pipiens;5.101.619;30.886;2008-05-25T02:00Z;25;5;2008
Anopheles claviger;51.134.159;362.722;2008-09-01T02:00Z;1;9;2008
Culex pipiens;50.989.441;449.276;2008-07-28T02:00Z;28;7;2008
Culiseta annulata;5.121.904;329.691;2008-06-22T02:00Z;22;6;2008
Anopheles plumbeus;50.430.809;537.005;2008-06-23T02:00Z;23;6;2008
Culex pipiens;51.059.601;33.968;2008-06-08T02:00Z;8;6;2008
Culiseta annulata;5.087.088;314.695;2008-05-25T02:00Z;25;5;2008
Culex pipiens;50.864.208;383.629;2008-08-25T02:00Z;25;8;2008
Culex torrentium;;;2008-09-03T02:00Z;3;9;2008
Culex pipiens;51.338.612;330.195;2008-09-15T02:00Z;15;9;2008
Anopheles claviger;5.050.441;352.686;2008-07-07T02:00Z;7;7;2008
Anopheles claviger;50.674.721;38.808;2008-07-01T02:00Z;1;7;2008
Culiseta annulata;51.147.461;520.576;2008-08-20T02:00Z;20;8;2008
Culex pipiens;51.062.191;339.236;2008-06-08T02:00Z;8;6;2008
Culiseta annulata;5.103.421;43.146;2008-05-26T02:00Z;26;5;2008
Culex pipiens;50.854.679;492.196;2008-08-05T02:00Z;5;8;2008
Culex pipiens;50.802.399;420.593;2008-06-17T02:00Z;17;6;2008
Culex pipiens;51.026.989;444.837;2008-07-28T02:00Z;28;7;2008
Culex pipiens;509.105;261.435;2008-07-27T02:00Z;27;7;2008
Culex pipiens;50.919.399;354.632;2008-06-09T02:00Z;9;6;2008
Culex pipiens;5.073.967;357.189;2008-08-31T02:00Z;31;8;2008
Culex pipiens;50.814.129;501.203;2008-07-29T02:00Z;29;7;2008
Culex pipiens;5.099.601;369.239;2008-06-09T02:00Z;9;6;2008
;50.430.809;537.005;2008-06-23T02:00Z;23;6;2008
Aedes cantans;51.026.989;444.837;2008-07-28T02:00Z;28;7;2008
Culiseta annulata;51.026.989;444.837;2008-07-28T02:00Z;28;7;2008
Culex pipiens;;;2008-05-19T02:00Z;19;5;2008
Anopheles claviger;50.854.679;492.196;2008-08-05T02:00Z;5;8;2008
Culex pipiens;5.087.088;314.695;2008-05-25T02:00Z;25;5;2008
Culex pipiens;51.050.571;366.617;2008-09-01T02:00Z;1;9;2008
Culex pipiens;51.338.612;330.195;2008-09-15T02:00Z;15;9;2008
Culex pipiens;51.031.719;430.282;2008-08-04T02:00Z;4;8;2008
Anopheles claviger;51.175.461;421.592;2008-08-11T02:00Z;11;8;2008
Aedes cantans;50.226.318;569.067;2008-06-03T02:00Z;3;6;2008
Culex pipiens;50.814.129;501.203;2008-07-29T02:00Z;29;7;2008
Anopheles claviger;50.919.399;354.632;2008-06-09T02:00Z;9;6;2008
Aedes cantans;50.430.809;537.005;2008-06-23T02:00Z;23;6;2008
Anopheles claviger;5.101.619;30.886;2008-05-25T02:00Z;25;5;2008
Culex pipiens;51.175.461;421.592;2008-08-11T02:00Z;11;8;2008
Culex pipiens;50.967.541;265.741;2008-07-27T02:00Z;27;7;2008
Culex pipiens;50.430.809;537.005;2008-06-23T02:00Z;23;6;2008
Aedes geniculatus;4.997.065;483.222;2008-06-09T02:00Z;9;6;2008
Culex pipiens;5.121.904;329.691;2008-06-22T02:00Z;22;6;2008
Aedes geniculatus;50.430.809;537.005;2008-06-23T02:00Z;23;6;2008
Culex pipiens;50.376.881;384.917;2008-07-08T02:00Z;8;7;2008
Aedes cantans;51.081.501;398.287;2008-05-19T02:00Z;19;5;2008
Anopheles maculipennis;51.042.309;406.593;2007-06-11T02:00Z;11;6;2007
Anopheles claviger;;;2008-05-19T02:00Z;19;5;2008
;4.997.065;483.222;2008-06-09T02:00Z;9;6;2008
Culex pipiens;;;2008-06-02T02:00Z;2;6;2008
Anopheles claviger;51.081.501;398.287;2008-05-19T02:00Z;19;5;2008
Culex pipiens;5.103.421;43.146;2008-05-26T02:00Z;26;5;2008
Aedes punctor;4.997.065;483.222;2008-06-09T02:00Z;9;6;2008
Culex pipiens;50.376.881;384.917;2008-07-08T02:00Z;8;7;2008
Culiseta annulata;51.081.501;398.287;2008-05-19T02:00Z;19;5;2008
Culex pipiens;50.932.209;455.701;2007-06-05T02:00Z;5;6;2007
Culiseta annulata;50.814.129;501.203;2008-07-29T02:00Z;29;7;2008
Culex pipiens;51.081.501;398.287;2008-05-19T02:00Z;19;5;2008
Culex pipiens;51.175.461;421.592;2008-08-11T02:00Z;11;8;2008
Aedes cinereus;51.042.309;406.593;2007-06-11T02:00Z;11;6;2007
Culex pipiens;50.991.833;5.619.141;2008-09-22T02:00Z;22;9;2008
Anopheles plumbeus;51.359.169;335.054;;;;
Culiseta annulata;51.026.989;444.837;2008-07-28T02:00Z;28;7;2008
Aedes rusticus;51.359.169;335.054;;;;
Anopheles plumbeus;51.062.191;339.236;2008-06-08T02:00Z;8;6;2008
;50.929.001;567.582;2008-05-27T02:00Z;27;5;2008
Culex pipiens;51.081.501;398.287;2008-05-19T02:00Z;19;5;2008
Aedes punctor;50.226.318;569.067;2008-06-03T02:00Z;3;6;2008
Culex pipiens;50.932.209;455.701;2007-06-05T02:00Z;5;6;2007
Anopheles plumbeus;51.026.989;444.837;2008-07-28T02:00Z;28;7;2008
Anopheles plumbeus;50.376.881;384.917;2008-07-08T02:00Z;8;7;2008
Coquillettidia richiardii;51.042.309;406.593;2007-06-11T02:00Z;11;6;2007
Culex pipiens;51.359.169;335.054;;;;
Anopheles maculipennis;50.864.208;383.629;2008-08-25T02:00Z;25;8;2008
Anopheles claviger;50.932.209;455.701;2007-06-05T02:00Z;5;6;2007
Anopheles claviger;51.042.309;406.593;2007-06-11T02:00Z;11;6;2007
Culiseta annulata;51.359.169;335.054;;;;
Culex torrentium;51.042.309;406.593;2007-06-11T02:00Z;11;6;2007
;50.226.318;569.067;2008-06-03T02:00Z;3;6;2008
;50.541.611;601.961;2008-05-26T02:00Z;26;5;2008
Aedes detritus;51.359.169;335.054;;;;
Aedes punctor;50.271.381;599.007;2008-06-09T02:00Z;9;6;2008
Aedes rusticus;5.097.422;464.437;2008-05-21T02:00Z;21;5;2008
Culex pipiens;51.019.859;434.598;2008-05-26T02:00Z;26;5;2008
Aedes communis;4.963.533;567.007;2007-07-23T02:00Z;23;7;2007
Anopheles plumbeus;51.042.309;406.593;2007-06-11T02:00Z;11;6;2007
Aedes cinereus;50.929.001;567.582;2008-05-27T02:00Z;27;5;2008
Aedes geniculatus;50.430.809;537.005;2008-06-23T02:00Z;23;6;2008
;50.991.833;5.619.141;2008-09-22T02:00Z;22;9;2008
Culiseta morsitans;5.102.758;554.098;2008-05-13T02:00Z;13;5;2008
;50.271.381;599.007;2008-06-09T02:00Z;9;6;2008
Culex pipiens;51.359.169;335.054;;;;
Culex pipiens;51.031.719;430.282;2008-08-04T02:00Z;4;8;2008
Anopheles plumbeus;50.991.833;5.619.141;2008-09-22T02:00Z;22;9;2008
Culex pipiens;51.007.969;293.774;2008-08-03T02:00Z;3;8;2008
Culex pipiens;50.226.318;569.067;2008-06-03T02:00Z;3;6;2008
Aedes punctor;50.541.611;601.961;2008-05-26T02:00Z;26;5;2008
Aedes cinereus;50.991.833;5.619.141;2008-09-22T02:00Z;22;9;2008
Anopheles maculipennis;50.929.001;567.582;2008-05-27T02:00Z;27;5;2008
Aedes rusticus;50.430.809;537.005;2008-06-23T02:00Z;23;6;2008
Aedes communis;50.271.381;599.007;2008-06-09T02:00Z;9;6;2008
Culex pipiens;50.929.001;567.582;2008-05-27T02:00Z;27;5;2008
Aedes cantans;50.929.001;567.582;2008-05-27T02:00Z;27;5;2008
Culex territans;50.929.001;567.582;2008-05-27T02:00Z;27;5;2008
;5.102.758;554.098;2008-05-13T02:00Z;13;5;2008
Culiseta annulata;5.097.422;464.437;2008-05-21T02:00Z;21;5;2008
Aedes caspius;5.127.351;327.243;2007-06-10T02:00Z;10;6;2007
Anopheles plumbeus;4.959.103;563.486;2007-01-01T01:00Z;1;1;2007
;4.959.103;563.486;2007-01-01T01:00Z;1;1;2007
Aedes cantans;50.991.833;5.619.141;2008-09-22T02:00Z;22;9;2008
Aedes cinereus;51.359.169;335.054;;;;
Culex pipiens;4.959.103;563.486;2007-01-01T01:00Z;1;1;2007
;50.271.381;599.007;2008-06-09T02:00Z;9;6;2008
;5.102.758;554.098;2008-05-13T02:00Z;13;5;2008
Aedes punctor;49.637.859;553.415;2007-08-06T02:00Z;6;8;2007
Culex pipiens;49.637.859;553.415;2007-08-06T02:00Z;6;8;2007
Culex pipiens;5.045.911;415.328;2008-08-26T02:00Z;26;8;2008
Anopheles claviger;50.430.809;537.005;2008-06-23T02:00Z;23;6;2008
Aedes geniculatus;50.991.833;5.619.141;2008-09-22T02:00Z;22;9;2008
Aedes punctor;4.963.533;567.007;2007-07-23T02:00Z;23;7;2007
Culex pipiens;5.102.758;554.098;2008-05-13T02:00Z;13;5;2008
Aedes punctor;5.102.758;554.098;2008-05-13T02:00Z;13;5;2008
;49.637.859;553.415;2007-08-06T02:00Z;6;8;2007
Anopheles claviger;50.991.833;5.619.141;2008-09-22T02:00Z;22;9;2008
Anopheles plumbeus;5.102.758;554.098;2008-05-13T02:00Z;13;5;2008
Anopheles claviger;51.359.169;335.054;;;;
Culex pipiens;51.042.309;406.593;2007-06-11T02:00Z;11;6;2007
Culex pipiens;5.114.222;385.509;2008-08-18T02:00Z;18;8;2008
Anopheles claviger;5.076.918;459.191;2008-05-27T02:00Z;27;5;2008
Culiseta annulata;4.963.533;567.007;2007-07-23T02:00Z;23;7;2007
Culex pipiens;50.216.888;420.133;2007-07-01T02:00Z;1;7;2007
Anopheles plumbeus;49.637.859;553.415;2007-08-06T02:00Z;6;8;2007
Anopheles maculipennis;4.963.533;567.007;2007-07-23T02:00Z;23;7;2007
Culiseta annulata;49.637.859;553.415;2007-08-06T02:00Z;6;8;2007
Aedes cinereus;5.102.758;554.098;2008-05-13T02:00Z;13;5;2008
Culex pipiens;5.045.911;415.328;2008-08-26T02:00Z;26;8;2008
Aedes communis;50.991.833;5.619.141;2008-09-22T02:00Z;22;9;2008
Anopheles maculipennis;50.541.431;484.673;2008-08-27T02:00Z;27;8;2008
Anopheles claviger;4.963.533;567.007;2007-07-23T02:00Z;23;7;2007
Aedes cantans;5.102.758;554.098;2008-05-13T02:00Z;13;5;2008
Coquillettidia richiardii;4.963.533;567.007;2007-07-23T02:00Z;23;7;2007
Coquillettidia richiardii;49.637.859;553.415;2007-08-06T02:00Z;6;8;2007
Culex pipiens;50.833.752;327.088;2008-08-17T02:00Z;17;8;2008
Coquillettidia richiardii;50.932.209;455.701;2007-06-05T02:00Z;5;6;2007
Culex pipiens;50.541.431;484.673;2008-08-27T02:00Z;27;8;2008
;4.969.809;533.246;2008-06-30T02:00Z;30;6;2008
;5.021.492;552.428;2007-06-03T02:00Z;3;6;2007
Anopheles plumbeus;50.216.888;420.133;2007-07-01T02:00Z;1;7;2007
Coquillettidia richiardii;50.216.888;420.133;2007-07-01T02:00Z;1;7;2007
Aedes punctor;50.929.001;567.582;2008-05-27T02:00Z;27;5;2008
;5.097.422;464.437;2008-05-21T02:00Z;21;5;2008
;5.045.911;415.328;2008-08-26T02:00Z;26;8;2008
Culex pipiens;50.762.798;359.848;2007-08-13T02:00Z;13;8;2007
Anopheles maculipennis;50.193.069;515.545;2008-05-26T02:00Z;26;5;2008
Aedes rusticus;50.996.262;561.986;2008-05-20T02:00Z;20;5;2008
Culex pipiens;4.969.809;533.246;2008-06-30T02:00Z;30;6;2008
Culex pipiens;5.021.492;552.428;2007-06-03T02:00Z;3;6;2007
Anopheles claviger;50.833.752;327.088;2008-08-17T02:00Z;17;8;2008
Culex pipiens;4.969.809;533.246;2008-06-30T02:00Z;30;6;2008
Culex pipiens;5.127.351;327.243;2007-06-10T02:00Z;10;6;2007
Culex pipiens;5.127.351;327.243;2007-06-10T02:00Z;10;6;2007
Culiseta annulata;5.114.222;385.509;2008-08-18T02:00Z;18;8;2008
Culex pipiens;50.541.431;484.673;2008-08-27T02:00Z;27;8;2008
